title,url,price,location,year,mileage
"BMW X1 sDrive18d Automatik, 2018 god, 80 000 km,Reg 10/2026",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-50745089,17.990 €,"Novi Zagreb - Istok, Dugave",2018,80.000 km
BMW X1 sDrive16d automatik,https://www.njuskalo.hr/auti/bmw-x1-sdrive16d-automatik-oglas-50966197,18.500 €,"Sveta Nedelja, Novaki",2018,85.564 km
BMW X1 18d M Sport | HR auto | Ovlašteni servis | Cijena za dogovor,https://www.njuskalo.hr/auti/bmw-x1-18d-m-sport-hr-auto-ovlasteni-servis-oglas-50695320,19.899 €,"Prelog, Prelog",2018,98.810 km
BMW X1 sDrive18d automatik Sport Line,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-42405400,20.000 €,"Zaprešić, Centar",2018,98.500 km
"BMW X1 18d,prvi vlasnik,nema pristojbe,garancija,kartice",https://www.njuskalo.hr/auti/bmw-x1-18d-prvo-vl-nema-pristojbe-garancija-kartice-oglas-50858980,20.500 €,"Čakovec, Buzovec",2018,98.000 km
BMW X1 sDrive20i,https://www.njuskalo.hr/auti/bmw-x1-sdrive20i-oglas-50725552,21.500 €,"Viškovo, Viškovo",2019,100.000 km
BMW X1 sDrive18d LCI--NAVI--HARMAN KARDON--KAMERA--JAMSTVO 12mj.,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-lci-navi-harman-kardon-kamera-jamstvo-12mj-oglas-49842294,22.100 €,"Novi Zagreb - Zapad, Lanište",2020,94.800 km
BMW X1 xDrive20d,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-42144735,23.500 €,"Podstrana, Strožanac",2018,100.000 km
"BMW X1 18d AUTOMATIK, SPORT, LED, ALU 18"", NAVI, KOŽA, GARANCIJA.",https://www.njuskalo.hr/auti/bmw-x1-18d-automatik-sport-led-alu-18-navi-koza-garancija-oglas-50932655,24.800 €,"Donja Dubrava, Donja Dubrava",2021,100.000 km
"BMW X1 xDrive20d automatik, M paket",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-automatik-oglas-50293684,24.900 €,"Gornji Grad - Medveščak, Šalata",2020,91.000 km
BMW X1 sDrive18dA Advantage,https://www.njuskalo.hr/auti/bmw-x1-sdrive18da-advantage-oglas-50980886,24.900 €,"Osijek, Gornji grad / Centar",2022,88.150 km
"BMW X1 SDrive 18d 2.0, 110kw/150ks, automatik, M PAKET OPREME",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-2.0-110kw-150ks-automatik-m-paket-opreme-oglas-51021668,24.999 €,"Krapina, Centar",2019,74.500 km
BMW X1 xDrive25e automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-automatik-oglas-50810867,24.999 €,"Zaprešić, Sjever",2020,93.000 km
BMW X1 sDrive18d Advantage Aut.,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-advantage-aut-oglas-51026280,25.800 €,"Čakovec, Globetka",2021,80.053 km
"BMW X1 20d xDrive AUTOMATIK *LED, NAVIGACIJA*",https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-automatik-led-navigacija-oglas-50831246,25.800 €,,2021,98.807 km
"BMW X1 20d xDrive AUTOMATIK *LED, NAVIGACIJA*",https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-automatik-led-navigacija-oglas-49433706,25.800 €,,2021,99.292 km
"BMW X1 18d Sport Line, Aut., jamstvo dvije god., već od 283,00€/mj!",https://www.njuskalo.hr/auti/bmw-x1-18d-sport-line-aut-jamstvo-dvije-god-vec-283.00-mj-oglas-51081804,25.900 €,"Zadar, Gaženica",2021,93.000 km
"BMW X1 sDrive20d •Navi,Kamera,Led,Panorama,Ambilight 97 000km,Jamstvo•",https://www.njuskalo.hr/auti/bmw-x1-sdrive20d-navi-kamera-led-panorama-ambilight-97-000km-jamstvo-oglas-50511210,25.999 €,"Osijek - Okolica, Josipovac",2020,97.000 km
"BMW X1 xDrive25e, SAMO 30.664 km!!  AKCIJSKA CIJENA ! TOP STANJE !!",https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-samo-19.023-km-navigacija-tempomat-kamera-oglas-45302752,26.900 €,"Osijek, Jug II",2020,30.664 km
BMW X1 2022 • PREMIUM jamstvo • AutoZubak Rabljena,https://www.njuskalo.hr/auti/bmw-x1-2022-premium-jamstvo-autozubak-rabljena-oglas-50683266,26.990 €,,2022,95.028 km
BMW X1 sDrive18d M-paket CIJENA S PDV-om!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-cijena-pdv-om-oglas-50647442,27.000 €,"Dubrovnik - Okolica, Mokošica",2020,85.421 km
"BMW X1 sDrive18d automatik M SPORT, NAVI, PANO, LED, SERVISNA",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-m-sport-navi-pano-led-servisna-oglas-51004370,27.450 €,"Osijek, Industrijska zona (Čepinska)",2021,85.035 km
BMW X1 xDrive20d M Sport,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-oglas-51052841,27.900 €,"Čakovec, Jug",2021,100.000 km
HITNO BMW X1 2022 | Prvi vlasnik |  | Automatik | Kupljen u HR,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-automatik-oglas-50924835,27.900 €,"Maksimir, Gornji Bukovac",2022,65.000 km
"BMW X1 xDrive25e, 2022, Automatik, Panorama, 220KS",https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-2022-automatik-panorama-220ks-oglas-51032049,28.000 €,"Donja Dubrava, Resnički gaj",2022,87.000 km
"BMW X1 xDrive20d M paket, 87057km",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-50903601,28.000 €,"Sesvete, Sesvete",2020,87.057 km
BMW X1 xDrive25e M paket,https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-automatik-oglas-50162761,28.000 €,"Podsused - Vrapče, Dolec",2021,65.000 km
BMW X1 sDrive20i automatik,https://www.njuskalo.hr/auti/bmw-x1-sdrive20d-automatik-oglas-50981963,28.200 €,"Gornja Dubrava, Klaka",2021,81.000 km
"BMW X1 xDrive25e M,Automatik,Led,Kuka,reg. 9/26",https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-m-automatik-led-kuka-reg-9-26-oglas-50027296,28.400 €,"Brezovica, Brezovica",2021,73.500 km
BMW X1 sDrive18d xLine/HeadUp/Kamera/Distance/€28.500 do reg.!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-xline-headup-kamera-distance-28.500-reg-oglas-50060598,28.500 €,Njemačka,2019,87.150 km
"BMW X1 sDrive18d automatik,M-PAKET,MOGUCNOST LEASING/JAMSTVO,098519033",https://www.njuskalo.hr/auti/bmw-x1-xdrive18d-automatik-m-paket-mogucnost-leasing-jamstvo-098519033-oglas-50797839,28.800 €,"Podsused - Vrapče, Vrapče",2020,71.971 km
"BMW X1 20d xDrive X Line AUTOMATIK *PANORAMA,LED,NAVIGACIJA,KAMERA*",https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-x-line-automatik-panorama-led-navigacija-kamera-oglas-50586935,28.800 €,,2022,99.857 km
"BMW X1 xDrive25e NAVI • AUTOMATIK • 31.000KM • ALU 18"" • LEASING",https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-oglas-51052685,28.900 €,"Osijek, Industrijska četvrt",2022,31.764 km
BMW  X1 sDrive20d Business Advantage Aut.,https://www.njuskalo.hr/auti/bmw-x1-sdrive20d-business-advantage-aut-oglas-50511966,28.900 €,"Novi Zagreb - Istok, Dugave",2022,47.300 km
BMW X1 xDrive20d automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-automatik-oglas-50984138,29.000 €,"Trešnjevka - Jug, Jarun",2019,54.370 km
"BMW X1 18d, 150KS, AUTOMATIK, REG, 1. VLASNIK, LED, NAVI, KAMERA, SERV",https://www.njuskalo.hr/auti/bmw-x1-18d-150ks-automatik-reg-1-vlasnik-led-navi-kamera-serv-oglas-51012326,29.400 €,"Gornji Kneginec, Lužan Biškupečki",2022,62.000 km
BMW X1 xDrive25e m-sport automatic,https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-m-sport-automatic-oglas-50268123,29.500 €,"Opatija - Okolica, Oprić",2021,43.000 km
BMW X1 xDrive XLine sport 20d automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive-20d-automatik-oglas-50706426,29.500 €,"Donja Stubica, Donja Stubica",2022,84.000 km
