title,url,price,location,year,mileage
Mercedes C-klasa 220d AVANTGARDE ⭐️ KUPLJEN U HR ⭐️,https://www.njuskalo.hr/auti/mercedes-c-klasa-220d-avantgarde-registriran-oglas-49201081,37.990 €,"Novi Zagreb - Zapad, Odra",2023,84.000 km
Mercedes-Benz C-klasa C 300 258ks Amg• Night• Burmaster• Garancija 2G,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-300-260ks-amg-burmaster-led-garancija-2-g-oglas-50851897,40.500 €,"Maksimir, Maksimir",2021,78.000 km
Mercedes-Benz C-klasa 220d automatik,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-automatik-oglas-51040724,33.400 €,"Stenjevec, Savska Opatovina",2023,97.720 km
"Mercedes-Benz C-klasa 220d 4MATIC AMG, Pano, Digital Light, 360kam",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-4matic-amg-pano-digital-light-360kam-oglas-50182995,45.900 €,"Donja Dubrava, Donja Dubrava",2023,87.358 km
"Mercedes-Benz C-klasa 400e 4Matic AMG, Burmester, Šiber, Kamera, 19""",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-400e-4matic-amg-burmester-siber-kamera-oglas-50370938,46.500 €,"Donja Dubrava, Donja Dubrava",2022,39.213 km
C 300 4x4 pano Amg 360 u Pdv-u,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-4x4-oglas-49947595,49.000 €,"Kaštela, Kaštel Stari",2022,41.000 km
Mercedes-Benz C-klasa ⚠️220d AMG360” LED Virtual Burmester 40000km!!!,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-amg-w206-virtual-burmester-40000km-oglas-50398102,43.000 €,"Sinj, Sinj",2023,41.000 km
Mercedes-Benz C-klasa C 300 4matic,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-300-4matic-oglas-50918229,56.000 €,"Makarska, Makarska Objavljen: 30.07.2026.",2022,40.000 km
Mercedes-Benz C200d~Amg Line~Panorama~Full Led~Kamera~Servisna~Jamstvo,https://www.njuskalo.hr/auti/mercedes-benz-c200d-amg-line-panorama-full-led-kamera-servisna-jamstvo-oglas-49419646,36.990 €,"Kaštela, Kaštel Gomilica",2023,75.000 km
"Mercedes-Benz C220CDI, F1 AUT., VIRTUAL, FULL LED, REG 06/27....",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-200-automatik-oglas-50941186,36.550 €,"Osijek, Industrijska zona (Čepinska)",2022,110.000 km
"Mercedes-Benz C-klasa 220d AMG Nightpaket,EQ boost",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-d-automatik-oglas-50751563,37.200 €,"Osijek, Retfala",2021,91.000 km
Mercedes-Benz  C 180 AVNATGARDE BENZIN 190 KS JAMSTVO - KAMERA - NOVOO,https://www.njuskalo.hr/auti/mercedes-benz-c-180-avnatgarde-benzin-190-ks-jamstvo-kamera-novoo-oglas-50944318,34.999 €,"Sesvete, Sesvete",2022,67.000 km
Mercedes-Benz C-klasa C180 Benzin 190 KS AVANTGARDE NOVOO-JAMSTVO- LED,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c180-benzin-190-ks-avantgarde-novoo-jamstvo-led-oglas-50990820,32.999 €,"Sesvete, Sesvete",2022,67.000 km
"Mercedes-Benz C300E, PLUG-IN HYBRID, AMG, 9G, TOP STANJE, REG.",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-300e-plug-in-hybrid-amg-9g-top-stanje-reg-oglas-50499194,35.900 €,"Marija Bistrica, Marija Bistrica",2023,109.000 km
Mercedes C200d Avantgarde (2023) – Reg. 1 god. / Nove gume,https://www.njuskalo.hr/auti/mercedes-c200d-avantgarde-2023-reg-1-god-gume-oglas-50942961,34.500 €,"Šibenik, Križ",2023,85.000 km
"Mercedes-Benz C-klasa 220 d  Avantgarde, Automatik 9G..reg.do 8/2027.",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-d-avantgarde-automatik-9g-reg-8-2026-oglas-50845984,34.900 €,"Osijek, Sjenjak",2023,81.000 km
Mercedes-Benz C-klasa 200 D**ODLIČNO STANJE*SERVISNA*,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-200-d-odlicno-stanje-servisna-oglas-46561211,24.999 €,"Podsused - Vrapče, Podsused",2020,65.000 km
Mercedes C220D AUTOMATIK °WIDESCREEN°KOŽA°KAMERA°LEASING BEZ UČEŠĆA,https://www.njuskalo.hr/auti/mercedes-c220d-automatik-widescreen-koza-kamera-leasing-bez-ucesca-oglas-50821979,34.990 €,"Sesvete, Sesvete",2021,77.000 km
Mercedes C220D AUTOMATIK °WIDESCREEN°KOŽA°KAMERA°LEASING BEZ UČEŠĆA,https://www.njuskalo.hr/auti/mercedes-c220d-automatik-widescreen-koza-kamera-leasing-bez-ucesca-oglas-50767884,36.490 €,"Sesvete, Sesvete",2022,43.000 km
Mercedes-Benz C 220d AMG Nightpaket **PANORAMA**FULL**,https://www.njuskalo.hr/auti/mercedes-benz-c-220d-amg-nightpaket-panorama-full-oglas-46674252,39.990 €,"Trešnjevka - Sjever, Rudeš",2022,113.000 km
Mercedes-Benz C220d 4Matic AMG Nighpaket **FULL OPREMA**,https://www.njuskalo.hr/auti/mercedes-benz-c220d-4matic-amg-nighpaket-full-oprema-oglas-50799278,49.990 €,"Trešnjevka - Sjever, Rudeš",2023,38.000 km
Mercedes-Benz C-klasa 220d 4MATIC AMG/Panorama/Keyless/360  *JAMSTVO*,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-4matic-amg-panorama-keyless-360-jamstvo-oglas-47250401,55.000 €,"Krk, Krk Objavljen: 29.07.2026.",2024,50.000 km
⭐Mercedes-Benz C220 CDI AMG-line◽JUNGE STERNE GARANTIE◽TOP STANJE◽NOV⭐,https://www.njuskalo.hr/auti/mercedes-benz-c220-cdi-amg-line-junge-sterne-garantie-top-stanje-nov-oglas-50687392,42.999 €,"Podsused - Vrapče, Podsused",2024,22.700 km
Mercedes-Benz C-klasa 300 D automatik,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-300-d-automatik-oglas-46612193,41.000 €,"Baška Voda, Baška Voda",2021,87.000 km
Mercedes-Benz C 220 d Avantgarde Aut.,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-avantgarde-aut-oglas-49978074,43.900 €,"Rijeka, Škurinje",2024,36.347 km
Mercedes-Benz C 220 d Avantgarde Aut.,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-avantgarde-aut-oglas-50245240,43.900 €,"Rijeka, Škurinje",2024,43.898 km
Mercedes-Benz C220d,https://www.njuskalo.hr/auti/mercedes-benz-c220d-oglas-50843225,38.000 €,"Podstrana, Strožanac",2022,54.000 km
Mercedes-Benz C 220 D Automatik Avantgarde,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-automatik-avantgarde-oglas-51079240,41.900 €,"Velika Gorica - Okolica, Staro Čiće",2025,22.463 km
Mercedes-Benz C-klasa c300e Plug-in Hibrid w206,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-w206-automatik-oglas-50286606,38.000 €,"Peščenica - Žitnjak, Žitnjak",2023,51.000 km
Mercedes-Benz C 300 d AMG Line/Night/Memory/360°,https://www.njuskalo.hr/auti/mercedes-benz-c-300-d-amg-line-night-memory-360-oglas-51077190,53.900 €,"Stenjevec, Jankomir Objavljen: 28.07.2026.",2025,27.877 km
Mercedes Benz-  C klasa 300D Amg*Masaža*360*,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-300-automatik-oglas-50817417,47.900 €,"Slatina, Slatina",2023,55.000 km
"Mercedes-Benz C220D,AUTOMATIK,AVANTGARDE,LED,ŠIBER,KAMERA....",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-automatik-avantgarde-led-siber-kamera-oglas-50931689,34.900 €,"Podsljeme, Štefanovec",2022,71.000 km
"Mercedes-Benz C-klasa C 300e T AMG, 9G-Tr,MBUX,PANO, DIGLIGHT, LEASING",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-300e-t-amg-9g-tr-mbux-pano-diglight-leasing-oglas-48791887,37.500 €,"Osijek, Industrijska zona (Čepinska)",2022,105.000 km
"MercedesC220d-17000 km/2024.g-Ljetni/Zimski Set, Koža",https://www.njuskalo.hr/auti/mercedes-benz-c220d-7000-km-2024-god-ljetni-zimski-set-koza-oglas-49189637,39.200 €,"Stenjevec, Jankomir",2024,17.000 km
Mercedes-Benz C-klasa C 220 automatik Amg TOP STANJE,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-220-automatik-amg-oglas-50054136,41.900 €,"Podsused - Vrapče, Dubravica",2022,63.000 km
Mercedes*C220* Avantgard,https://www.njuskalo.hr/auti/mercedes-c-klasa-220d-9-g-tronic-oglas-49971210,27.800 €,"Gornja Dubrava, Granešina",2020,116.804 km
MERCEDES C300D▪AMG LINE▪REG 06/2027▪DIGITAL LIGHT▪KAMERE 360▪SERVISNA,https://www.njuskalo.hr/auti/mercedes-c300d-amg-line-reg-06-2027-digital-light-kamere-360-servisna-oglas-50965851,39.990 €,"Mali Lošinj, Mali Lošinj",2021,78.000 km
Mercedes C 220d – AMG Line + Night – Panorama,https://www.njuskalo.hr/auti/mercedes-c-220d-amg-line-night-panorama-oglas-50952729,39.900 €,"Črnomerec, Črnomerec",2022,109.000 km
Mercedes-Benz C-klasa 220 D automatik,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-d-automatik-oglas-51059778,30.500 €,"Novi Zagreb - Zapad, Odra",2020,89.700 km
"Mercedes-Benz 220d C-klasa W206 AVANTGARDE + NIGHT paket, Automatic",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-w206-avantgarde-night-paket-oglas-50527966,37.600 €,"Novi Zagreb - Zapad, Remetinec",2023,49.000 km
Mercedes-Benz C-klasa C 220d LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-220d-leasing-bez-ucesca-bez-jamaca-oglas-50754608,38.500 €,"Satnica Đakovačka, Satnica Đakovačka",2022,75.561 km
Mercedes-Benz C-klasa C 200d LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-c-200d-leasing-bez-ucesca-bez-jamaca-oglas-50754546,38.800 €,"Satnica Đakovačka, Satnica Đakovačka",2023,54.470 km
Mercedes-Benz C-klasa 300e LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-300-leasing-bez-ucesca-bez-jamaca-oglas-50990584,29.500 €,"Satnica Đakovačka, Satnica Đakovačka",2021,95.108 km
"Mercedes-Benz C-klasa 220d,PERLA BIJELA,LEASING BEZ UČEŠĆA I BEZ JAMAC",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-perla-bijela-leasing-bez-ucesca-bez-jamac-oglas-50754808,39.800 €,"Satnica Đakovačka, Satnica Đakovačka",2021,43.930 km
"Mercedes-Benz C-klasa  BENZIN, LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-benzin-leasing-bez-ucesca-bez-jamaca-oglas-50754670,35.800 €,"Satnica Đakovačka, Satnica Đakovačka",2022,90.241 km
"Mercedes-Benz C220D 200KS *AMG* PANO,VIRTUAL,ACC,360°KAM,AMBI,JAMSTVO",https://www.njuskalo.hr/auti/mercedes-benz-c220d-200ks-amg-virtual-pano-360-ambient-jamstvo-oglas-51033328,39.999 €,"Osijek, Industrijska zona (Čepinska)",2022,64.388 km
"Mercedes-Benz C220D 200KS VIRTUAL,KAM,AMBI,GRIJ.SJED,JAMSTVO,REG.11/26",https://www.njuskalo.hr/auti/mercedes-benz-c220d-200ks-virtual-amb-navi-acc-lane-jamstvo-reg-06-26-oglas-50986358,34.999 €,"Osijek, Industrijska zona (Čepinska)",2022,35.463 km
Mercedes-Benz C-klasa 400e 4matic AMG *U SUSTAVU PDV-a*,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-400e-4matic-amg-sustavu-pdv-a-oglas-49832929,63.400 €,"Dubrovnik - Okolica, Mokošica Objavljen: 24.07.2026.",2024,18.500 km
Mercedes-Benz C400e AMG ☆ u PDV-u ☆ GARANCIJA ☆,https://www.njuskalo.hr/auti/mercedes-benz-c400e-amg-pdv-garancija-oglas-49816581,59.900 €,"Dugo Selo - Okolica, Puhovo Objavljen: 24.07.2026.",2024,69.000 km
"Mercedes-Benz C 300DE ,313ks,AMG",https://www.njuskalo.hr/auti/mercedes-benz-c300de-amg-2024-oglas-48881932,51.900 €,"Črnomerec, Črnomerec Objavljen: 23.07.2026.",2024,14.800 km
Mercedes-Benz C 220 d AMG/MEMORY/DISTRONIC,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-w206-oglas-49548846,55.900 €,"Osijek, Industrijska zona (Čepinska) Objavljen: 23.07.2026.",2025,10.012 km
Mercedes-Benz C 220 d AMG / NIGHT PAKET / BURMESTER,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-amg-night-paket-burmester-oglas-48411774,53.900 €,"Osijek, Industrijska zona (Čepinska) Objavljen: 23.07.2026.",2024,30.952 km
Mercedes C 300 e AVANTGARDE | 313 KS | 11 kW | 15.000 km,https://www.njuskalo.hr/auti/mercedes-c-300-e-avantgarde-2024-313-ks-11-kw-360-masaza-me-oglas-49945825,47.000 €,"Velika Gorica - Okolica, Staro Čiće",2024,15.000 km
Mercedes-Benz C220d AMG-line ☆ GARANCIJA ☆ RATA OD 348€,https://www.njuskalo.hr/auti/mercedes-benz-c220d-amg-line-garancija-rata-348-oglas-50769416,43.200 €,"Dugo Selo - Okolica, Puhovo",2022,63.000 km
Mercedes-Benz C-klasa 220 cdi AMG,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-cdi-automatik-oglas-46653322,36.900 €,"Imotski, Imotski",2022,81.000 km
Mercedes-Benz C 220 d Avantgarde,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-avantgarde-oglas-50828794,43.200 €,"Dugopolje, Dugopolje",2025,13.339 km
Mercedes-Benz C-klasa #AMG#200 D#TVORNIČKO JAMSTVO#U SUSTAVU PDV-A#,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-amg-200-d-tvornicko-jamstvo-sustavu-pdv-a-oglas-50674505,43.500 €,"Stenjevec, Jankomir",2025,43.100 km
Mercedes-Benz C-klasa 220cdi automatik,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220cdi-automatik-oglas-50969761,37.700 €,"Karlovac, Zvijezda",2022,60.000 km
Mercedes-Benz C300e 4Matic•Avangarde•Kamere 360°•Grijanje sj.•Led•PDV,https://www.njuskalo.hr/auti/mercedes-benz-c300e-4matic-avangarde-kamere-360-grijanje-sj-led-pdv-oglas-50441093,45.990 €,"Novi Zagreb - Zapad, Lanište",2024,14.399 km
Mercedes-Benz C220dA Avantgarde,https://www.njuskalo.hr/auti/mercedes-benz-c220da-avantgarde-oglas-47885271,47.200 €,"Čakovec, Globetka",2023,49.850 km
Mercedes-Benz C-klasa 220 d Avantgarde Aut.,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-d-avantgarde-aut-oglas-44191838,43.900 €,"Čakovec, Globetka",2024,21.511 km
Mercedes-Benz C-klasa 220 d Avantgarde Aut.,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-d-avantgarde-aut-oglas-44191861,43.900 €,"Čakovec, Globetka",2024,24.435 km
Mercedes-Benz C-klasa 220d Avantgarde Aut.,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220d-avantgarde-aut-oglas-44031874,43.900 €,"Čakovec, Globetka",2024,22.325 km
MERCEDES - BENZ C 220 d - AMG - 2021 GOD - LED - VIRTUAL KOKPIT - TOP!,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-amg-2021-god-led-virtual-kokpit-top-oglas-47187437,43.900 €,"Varaždin, Centar",2021,92.000 km
