title,url,price,location,year,mileage
MAZDA CX-5 2.5L e-SKYACTIV G141 AT HOMURA PANO BLOP *DEMO VOZILO*,https://www.njuskalo.hr/auti/mazda-cx-5-2.5l-e-skyactiv-g141-at-homura-pano-blop-demo-vozilo-oglas-50910172,44.900 €,"Sesvete, Sesvete",2026,
Mazda CX-5 CD150 AUTOMATIK HOMURA°NAVI°KOŽA°HEAD-UP°KAMERA360°LEASING,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-automatik-homura-navi-koza-head-up-kamera-360-leasing-oglas-49018464,22.990 €,"Sesvete, Sesvete",2021,137.000 km
Mazda CX-5 CD150 AUTOMATIK °NAVI°KAMERA°MRTVI KUT°LEASING BEZ UČEŠĆA°,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-automatik-navi-kamera-mrtvi-kut-leasing-bez-ucesca-oglas-49461821,22.990 €,"Sesvete, Sesvete",2022,137.000 km
"Mazda CX-5 CD150, bogata oprema, moguća zamjena",https://www.njuskalo.hr/auti/mazda-cx-5-cd150-automatik-oglas-49889709,25.000 €,"Peščenica - Žitnjak, Ferenščica",2022,107.000 km
Mazda CX-5 AWD SIGNATURE HUD/ŠIBER/AUTOMATIK/U SUSTAVU PDV-A/AWD/KOŽA,https://www.njuskalo.hr/auti/mazda-cx-5-awd-signature-2.2d-150ks-automatik-sustavu-pdv-a-awd-koza-oglas-50744973,23.900 €,"Podsljeme, Štefanovec",2022,148.000 km
"Mazda CX-5 HOMURA AT,AWD 184KS 75.000KM,FULL OPREMA,U SUSTAVU PDV-A..",https://www.njuskalo.hr/auti/mazda-cx-5-cd184-automatik-oglas-51057184,27.990 €,"Podsljeme, Štefanovec",2022,75.000 km
Mazda CX-5 AWD 184KS SIGNATURE HUD/ŠIBER/AT/U SUSTAVU PDV-A/AWD/KOŽA,https://www.njuskalo.hr/auti/mazda-cx-5-awd-184ks-signature-hud-siber-at-sustavu-pdv-a-awd-koza-oglas-50961656,29.900 €,"Podsljeme, Štefanovec",2023,81.900 km
"Mazda CX-5 2023/AUTOMATIK/LED/NAVI/KAMERA/ALU 19"" U SUSTAVU PDV-A",https://www.njuskalo.hr/auti/mazda-cx-5-2.2-oglas-50911788,23.990 €,"Podsljeme, Štefanovec",2023,93.000 km
Mazda CX-5 CD150  AWD  automatik,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-awd-automatik-oglas-50977293,20.500 €,"Split, Šine",2021,119.321 km
Mazda CX-5 *AUTOMATIK*NAVI*KAMERA*GRIJANJE VOLANA*REG 07/2027*,https://www.njuskalo.hr/auti/mazda-cx-5-automatik-navi-kamera-grijanje-volana-reg-07-2027-oglas-51072516,33.200 €,"Donji Grad, Donji grad",2023,51.300 km
Mazda CX-5 Exclusive Line G194 automatik,https://www.njuskalo.hr/auti/mazda-cx-5-exclusive-line-g194-automatik-oglas-51071416,38.800 €,"Bjelovar, Centar",2024,46.000 km
"Mazda CX-5 CD150 AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/mazda-cx-5-cd150-automatik-led-navigacija-kamera-oglas-50765193,22.700 €,,2022,127.069 km
"Mazda CX-5 G194 AT REVOLUTION *HR VOZILO, PRVI VLASNIK, SVI SERVISI*",https://www.njuskalo.hr/auti/mazda-cx-5-g194-at-revolution-hr-vozilo-prvi-vlasnik-svi-servisi-oglas-50768973,23.500 €,"Velika Gorica, Mala Gorica",2021,115.000 km
Mazda CX-5 2.5 G141 AT HOMURA PANO TESTNO VOZILO,https://www.njuskalo.hr/auti/mazda-cx-5-2.5-g141-at-homura-pano-testno-vozilo-oglas-51044518,44.490 €,"Osijek, Industrijska zona (Čepinska)",2026,
"Mazda CX-5 CD150 AUTOMATIK, 19TKM, HEADUP, 360,GRIJANJE SJEDALA!",https://www.njuskalo.hr/auti/mazda-cx-5-cd150-automatik-19tkm-headup-360-grijanje-sjedala-oglas-50739722,"33.999,90 €","Peščenica - Žitnjak, Peščenica",2024,19.537 km
"Mazda CX-5 2.2D AUTOMATIK,JAMSTVO,KOŽA,HEAD-UP,RADAR,360 KAM,U PDV-U!",https://www.njuskalo.hr/auti/mazda-cx-5-cd150-oglas-50744117,24.990 €,"Podsljeme, Štefanovec",2023,128.000 km
Mazda CX-5 2.5 G194 AT,https://www.njuskalo.hr/auti/mazda-cx-5-g194-automatik-oglas-50913015,38.500 €,"Stenjevec, Malešnica",2025,25.600 km
"Mazda CX-5 2.5L G141 AT AWD Homura PANO BLOP - 5.000 km, jamstvo 6 god",https://www.njuskalo.hr/auti/mazda-cx-5-2.5l-g141-at-awd-homura-pano-blop-5.000-km-jamstvo-6-god-oglas-50987194,46.000 €,"Velika Gorica, Mala Gorica",2026,
Mazda CX-5 CD150 AT ADVANTAGE,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-at-advantage-oglas-50695392,30.490 €,,2023,51.416 km
Mazda CX-5 CD150 AWD Revolutiuon Top Aut. /Bose/360°/ACC/Vent/HUD,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-awd-revolutiuon-top-aut-bose-360-acc-vent-hud-oglas-48463488,24.890 €,"Podsused - Vrapče, Dolec",2022,165.087 km
Mazda CX-5 CD184 AWD,https://www.njuskalo.hr/auti/mazda-cx-5-cd184-automatik-oglas-49910866,23.500 €,"Josipdol, Josipdol",2020,139.000 km
