title,url,price,location,year,mileage
Nissan Qashqai 1.3 BUSINESS XTRONIC | 24MJ JAMSTVA | U PDV-U,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-business-xtronic-24mj-jamstva-pdv-oglas-50914151,17.999 €,,2022,141.634 km
BMW X1 sDrive18d automatik,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-51020486,18.000 €,"Stenjevec, Špansko",2022,184.765 km
BMW X1 sDrive18d NAVIGACIJA PARKIRNI SERVISNA GARANCIJA,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-oglas-50946807,18.999 €,"Koprivnica, Žablivka",2022,180.198 km
Nissan Qashqai 1.3 BUSINESS XTRONIC | 24MJ JAMSTVA | PDV,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-business-xtronic-24mj-jamstva-pdv-oglas-51001246,18.999 €,"Sesvete, Sesvete",2022,111.636 km
⭐AKCIJA 24Mj Jamstva Nissan Qashqai 1.3 Business Edition Xtronic,https://www.njuskalo.hr/auti/akcija-24mj-jamstva-nissan-qashqai-1.3-business-edition-xtronic-oglas-50064117,19.499 €,,2023,129.030 km
"NISSAN Qashqai 1.3 xtronic, 116kW/158 KS",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-50862283,19.500 €,"Split - Okolica, Kamen",2023,60.299 km
"Kia Sportage 1.6 CRDI automatik DCT7, Active, led farovi, navi, kamera",https://www.njuskalo.hr/auti/kia-sportage-1.6-crdi-automatik-dct7-active-led-farovi-navi-kamera-oglas-51072416,19.900 €,"Varaždin, Banfica",2022,122.900 km
"Hyundai Tucson 1,6 CRDi automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50943387,19.900 €,"Sisak, Zeleni brijeg",2023,153.000 km
VOLVO XC40 1.5 T3-A MOMENTUM,https://www.njuskalo.hr/auti/volvo-xc40-1.5-t3-a-momentum-oglas-50906673,19.900 €,,2022,194.110 km
Volvo XC40 1.5 T3-A MOMENTUM,https://www.njuskalo.hr/auti/volvo-xc40-xc40-oglas-50456977,19.900 €,"Peščenica - Žitnjak, Resničina",2022,194.110 km
"Kia Sportage 1.6CRDI AUTOMAT, VIRTUAL,ACC,KAMERA,NAVI,LED,REG.07/2027!",https://www.njuskalo.hr/auti/kia-sportage-1.6crdi-automat-virtual-acc-kamera-navi-led-reg-07-2027-oglas-51070173,19.999 €,"Osijek, Industrijska zona (Čepinska)",2023,144.387 km
QASHQAI 1.3DIG.T MHEV 158KS XTRONIC NEW MODEL ACC ALU KAMERA REG. 1 GO,https://www.njuskalo.hr/auti/qashqai-1.3dig-t-mhev-158ks-xtronic-new-model-acc-alu-kamera-gume-oglas-50655521,20.300 €,"Split, Grad",2022,80.000 km
QASHQAI 1.3DIG.T MHEV*158KS*XTRONIC*NEW MODEL*ACC*ALU*KAMERA*NOVE GUME,https://www.njuskalo.hr/auti/qashqai-1.3dig-t-mhev-158ks-xtronic-new-model-acc-alu-kamera-gume-oglas-50954123,20.500 €,"Split, Grad",2023,120.000 km
"NISSAN Qashqai 1.3  xtronic, 116kW/158 KS",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-xtronic-116kw-158-ks-oglas-48842642,20.500 €,"Split - Okolica, Kamen",2022,89.883 km
Nissan Qashqai 1.5 automatik ●e-POWER 190●FULL OPREMA ●360°●U PDV-u●,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-automatik-190ps-e-power-full-oprema-pdv-oglas-50960329,20.990 €,"Sesvete, Sopnica",2023,159.000 km
"Hyundai Tucson 1.6 CRDi AUTOMATIK,KAMERA,RADAR,BLIND SPOT,NAVI,U PDV-U",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-136-dct-7-navi-led-kamera-pdv-oglas-49188067,20.990 €,"Podsljeme, Štefanovec",2022,134.000 km
Kia Sportage 1.6 CRDI STYLE 2WD | 24MJ JAMSTVA | U PDV-U,https://www.njuskalo.hr/auti/kia-sportage-1.6-crdi-style-2wd-24mj-jamstva-pdv-oglas-51055065,21.499 €,"Sesvete, Sesvete",2023,98.435 km
BMW X1 sDrive18d,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-oglas-50902022,21.500 €,"Rijeka, Kantrida",2022,144.000 km
"Hyundai Tucson 1,6 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50525561,21.550 €,"Osijek - Okolica, Tenja",2023,143.000 km
"⭐️Nissan Qashqai 1.3⭐️ 360 KAM, Jamstvo, Leasing - Kredit",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-50509360,21.750 €,"Osijek - Okolica, Tenja",2022,81.400 km
"Hyundai Tucson 1,6 CRDi Creative/Dct7/Led/Nav/Leasing/Jamstvo",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-creative-dct7-led-nav-leasing-jamstvo-oglas-50852266,21.800 €,"Vinkovci, Centar",2023,121.355 km
