title,url,price,location,year,mileage
"Ford Kuga 2.5 PHEV, Plug in Hybrid, ST-Line X, LED, B&O, Kamera....",https://www.njuskalo.hr/auti/ford-kuga-2.5-phev-plug-in-hybrid-st-line-x-led-b-kamera-oglas-50334448,22.900 €,"Donja Dubrava, Retkovec",2021,74.165 km
"Ford Kuga 2.5 PHEV, Plug in Hybrid, ST-Line X, LED, B&O, Kamera....",https://www.njuskalo.hr/auti/ford-kuga-2.5-phev-plug-in-hybrid-st-line-x-led-b-kamera-oglas-50334399,22.900 €,"Donja Dubrava, Retkovec",2021,74.165 km
"Ford Kuga 2,5 FHEV, 190KS, Hibrid, Vignale, U PDV-u. 24 mjes. jamstva.",https://www.njuskalo.hr/auti/ford-kuga-2.5-fhev-190ks-vignale-pdv-24-mjes-jamstva-oglas-51085525,24.800 €,"Donja Dubrava, Retkovec",2023,92.400 km
"Ford Kuga 2,5 FHEV, 190KS, Hibrid, Vignale, U PDV-u. 24 mjes. jamstva.",https://www.njuskalo.hr/auti/ford-kuga-2.5-fhev-190ks-hibrid-vignale-pdv-24-mjes-jamstva-oglas-51085579,24.800 €,"Donja Dubrava, Retkovec",2023,92.400 km
Ford Kuga 2.5 Duratec PHEV ST-Line | HR | 1. vlasnik | ACC | KAMERA,https://www.njuskalo.hr/auti/ford-kuga-2.5-duratec-phev-st-line-oglas-50906719,21.500 €,,2022,83.400 km
"Ford Kuga 1.5 EcoBlue ST line Automatik, HR auto, Kamera, Virtual, PDV",https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoblue-st-line-automatik-hr-auto-kamera-virtual-pdv-oglas-49461640,20.900 €,"Donja Dubrava, Donja Dubrava",2022,101.038 km
"Ford Kuga 1,5 TDCi - 2021 - AUTOMATIK - 120.000km - REG.1.GOD. !!!",https://www.njuskalo.hr/auti/ford-kuga-1.5-tdci-2021-automatik-120.000km-reg-1-god-oglas-46587280,19.999 €,"Rijeka, Martinkovac",2021,127.174 km
"Ford Kuga 2,5 ST",https://www.njuskalo.hr/auti/ford-kuga-2.5-st-oglas-50913488,21.500 €,"Stenjevec, Špansko",2023,43.120 km
"Ford Kuga 2,5 190 PHEV Hibrid,navi,led,leasing",https://www.njuskalo.hr/auti/ford-kuga-2.5-190-phev-hibrid-navi-led-leasing-oglas-50577210,19.900 €,"Lekenik, Lekenik",2022,122.000 km
"Ford Kuga 2,0 EcoBlue Titanium 4x4 190 KS",https://www.njuskalo.hr/auti/ford-kuga-2.0-ecoblue-titanium-4x4-190-ks-oglas-49542440,15.000 €,"Stenjevec, Špansko",2021,216.000 km
"Ford Kuga 2,0 TDCI ST-LINE AUTOMATIK. GR. SVIH SJEDALA, U PDV-U",https://www.njuskalo.hr/auti/ford-kuga-2.0-tdci-st-line-automatik-gr-svih-sjedala-pdv-oglas-50791515,27.490 €,"Peščenica - Žitnjak, Peščenica",2024,23.000 km
Ford Kuga 2.5 PHEV | ST-LINE | Jamstvo 12mj.,https://www.njuskalo.hr/auti/ford-kuga-2.5-phev-st-line-jamstvo-12mj-oglas-51001959,23.500 €,"Donji Grad, Donji grad",2021,49.800 km
Ford Kuga 2.5 PHEV | ST-LINE | Jamstvo 12mj.,https://www.njuskalo.hr/auti/ford-kuga-2.5-phev-st-line-jamstvo-12mj-oglas-51001855,23.500 €,"Donji Grad, Donji grad",2021,49.800 km
Ford Kuga 2.0TDCi 4x4 190KS | ST-LINE X | BANG&OLUFSEN |Jamstvo 12mj.,https://www.njuskalo.hr/auti/ford-kuga-2.0tdci-awd-st-line-x-bang-olufsen-jamstvo-12mj-oglas-50980246,25.500 €,"Donji Grad, Donji grad",2020,80.900 km
"Ford Kuga 1,5 EcoBlue automatik 4xGARANCIJE",https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoblue-automatik-4xgarancije-oglas-48107508,19.999 €,"Trnje, Martinovka",2021,98.400 km
"Rabljeno vozilo Ford Kuga 2.5 FHEV Automatic 4x4 182, Benzin",https://www.njuskalo.hr/auti/rabljeno-vozilo-ford-kuga-2.5-fhev-automatic-4x4-182-benzin-oglas-51075379,38.600 €,"Stenjevec, Jankomir",2026,20.000 km
Ford Kuga AUTOMATIK+DIZEL+NOVO (sa 25%PDV-leasing-kartice)12mj.JAMSTVO,https://www.njuskalo.hr/auti/ford-kuga-automatik-dizel-25-pdv-leasing-kartice-12mj-jamstvo-oglas-50809294,17.499 €,"Split, Mejaši",2022,139.200 km
Ford Kuga 2.5 PHEV  VIGNALE  aut. Plug-in Hybrid,https://www.njuskalo.hr/auti/ford-kuga-2.5-phev-vignale-aut-plug-in-hybrid-oglas-49178842,23.800 €,"Novi Zagreb - Istok, Dugave",2022,99.604 km
"Ford Kuga 2,5 FHEV 190 automatik ST-Line / JAMSTVO + REGISTRACIJA",https://www.njuskalo.hr/auti/ford-kuga-2.5-fhev-automatik-st-line-jamstvo-registracija-oglas-51057413,24.900 €,"Rijeka, Škurinje",2023,32.480 km
"Ford Kuga 2,5 DURATEC PHEV automatik",https://www.njuskalo.hr/auti/ford-kuga-2.5-duratec-phev-automatik-oglas-51050852,19.800 €,"Peščenica - Žitnjak, Borongaj",2023,128.000 km
"Ford Kuga 2,0 EcoBlue LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/ford-kuga-2.0-ecoblue-leasing-bez-ucesca-bez-jamaca-oglas-51052289,25.999 €,"Peščenica - Žitnjak, Peščenica",2021,100.741 km
"Ford Kuga 2,0 EcoBlue automatik TITANIUM LEASING R1 SERVISNA",https://www.njuskalo.hr/auti/ford-kuga-2.0-ecoblue-automatik-oglas-50725594,14.900 €,"Bukovlje, Vranovci",2020,184.000 km
"Ford Kuga 2,5 Plug-in Hybrid ST Line X",https://www.njuskalo.hr/auti/ford-kuga-2.5-plug-in-oglas-51038110,35.500 €,"Stenjevec, Jankomir",2025,12.300 km
"Ford Kuga 1,5 EcoBlue *Navigacija*Kamera*Posebna ponuda*",https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoblue-navigacija-kamera-posebna-ponuda-oglas-50750922,19.990 €,"Pazin - Okolica, Heki",2022,89.867 km
"Ford Kuga 2,0D 190Ks, 4X4, ST-LINE X, KAMERA, LED, GRIJ. SJEDALA",https://www.njuskalo.hr/auti/ford-kuga-2.0d-190ks-4x4-st-line-x-kamera-led-grij-sjedala-oglas-50892224,25.990 €,"Peščenica - Žitnjak, Peščenica",2021,118.700 km
KUGA ST LINE 2.5 FHEV 180KS CVT FWD,https://www.njuskalo.hr/auti/ford-kuga-2.5-automatik-oglas-47688403,"34.913,06 €","Zadar, Smiljevac",2026,
"Ford Kuga 2.0 TDCi ST-Line X, LED, Grijanje sjedala, Alu napl, Jamstvo",https://www.njuskalo.hr/auti/ford-kuga-2.0-tdci-st-line-x-led-grijanje-sjedala-alu-napl-jamstvo-oglas-50593740,25.999 €,"Peščenica - Žitnjak, Peščenica",2021,100.741 km
"Ford Kuga 2,5 FHEV / TITANIUM / LEASING",https://www.njuskalo.hr/auti/ford-kuga-2.5-fhev-leasing-oglas-50860861,18.500 €,"Petrinja, Petrinja",2023,120.000 km
"Ford Kuga 2,5 PHEV 225 ST-Line X, PDV, KEYLESS, MRTVI KUT, B&O, HuD",https://www.njuskalo.hr/auti/ford-kuga-2.5-phev-225-st-line-x-pdv-keyless-mrtvi-kut-b-hud-oglas-50859064,21.900 €,"Peščenica - Žitnjak, Peščenica",2020,85.000 km
"Rabljeno vozilo Ford Kuga 2.0 EcoBlue Automatic ST-line 4x4, Diesel",https://www.njuskalo.hr/auti/rabljeno-vozilo-ford-kuga-2.0-ecoblue-automatic-st-line-4x4-diesel-oglas-50991333,26.370 €,"Stenjevec, Jankomir",2022,92.248 km
"Rabljeno vozilo Ford Kuga 2.0 Ecoblue Automatic, Diesel",https://www.njuskalo.hr/auti/rabljeno-vozilo-ford-kuga-2.0-ecoblue-automatic-diesel-oglas-50984915,27.500 €,"Stenjevec, Jankomir",2024,42.525 km
