title,url,price,location,year,mileage
"Toyota RAV4 2.0i 2WD•Led,ACC,Alu 17”,112000km,Jamstvo 5 g. •",https://www.njuskalo.hr/auti/toyota-rav4-2.0i-2wd-led-acc-alu-17-112000km-jamstvo-5-g-oglas-50988289,25.999 €,"Osijek - Okolica, Josipovac",2021,112.450 km
Toyota RAV4 Plug in Hibryd Executive,https://www.njuskalo.hr/auti/toyota-rav4-plug-in-hibryd-executive-oglas-51044941,41.900 €,"Osijek, Gornji grad / Centar",2023,102.772 km
Toyota RAV4 2.5 Hybrid | 1. VLASNIK | HR AUTO | 99.000 km,https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-oglas-50957911,33.000 €,"Trnje, Martinovka",2019,99.000 km
"Toyota RAV4 2,5 automatik 4x4 FULL OPREMA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-oglas-51079899,29.500 €,"Rijeka, Donja Vežica",2019,100.500 km
"Toyota RAV4 2,5 HYBIRD",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybird-oglas-51065065,34.900 €,"Črnomerec, Bijenik",2021,74.000 km
"Toyota RAV4 2,0 - 57.000KM - KAMERA - GRIJANJE SJEDALA - LEASING",https://www.njuskalo.hr/auti/toyota-rav4-2.0-57.000km-kamera-grijanje-sjedala-leasing-oglas-50693335,27.900 €,"Osijek, Cvjetno naselje",2021,57.000 km
"Toyota RAV4 2,5 Plug-in 4x4 automatik",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-4x4-automatik-oglas-51078327,39.500 €,"Rijeka, Marčeljeva Draga",2022,69.700 km
"Toyota RAV4 2,5 Hybrid Team",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-team-oglas-50415125,36.800 €,Njemačka,2024,54.840 km
"Toyota RAV4 2.5 Hybrid , LED, Kamera, Navi, Servisna, Jamstvo...",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-kamera-navi-servisna-jamstvo-oglas-50798189,30.800 €,"Donja Dubrava, Retkovec",2020,40.100 km
"Toyota RAV4 2,5",https://www.njuskalo.hr/auti/toyota-rav4-2.5-oglas-51057421,25.900 €,"Beretinec, Beretinec",2019,81.000 km
"Toyota RAV4 2.5, Plug In Hybrid, 306KS 4x4",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-hybrid-306ks-4x4-oglas-51054796,48.000 €,"Črnomerec, Bijenik",2024,32.500 km
"Toyota RAV4 2,5 HIBRID, KOŽA, GRIJANJE SJEDALA. HR JAMSTVO, NAVI...",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hibrid-koza-grijanje-sjedala-hr-jamstvo-navi-oglas-51073353,28.800 €,"Gornja Dubrava, Klaka",2020,143.000 km
TOYOTA*RAV4*2.5 HYB-218KS*AUT*2022.G*KAMERA*NAVI*LED*JAMSTVO*29900E,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hyb-218ks-aut-2022-g-kamera-navi-led-jamstvo-28900e-oglas-50761623,29.900 €,"Gornja Dubrava, Studentski grad",2022,126.832 km
"Toyota RAV4 2.5 Hybrid , LED, Kamera, Navi, Servisna, Jamstvo...",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-kamera-navi-servisna-jamstvo-oglas-50798231,30.800 €,"Donja Dubrava, Retkovec",2020,40.100 km
"Toyota RAV4 2,5 automatik FULL OPREMA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-full-oprema-oglas-50868659,26.000 €,"Gradac, Drvenik",2019,150.800 km
"Toyota RAV4 2,0 automatik",https://www.njuskalo.hr/auti/toyota-rav4-2.0-automatik-oglas-50730411,31.000 €,"Oroslavje, Oroslavje",2022,89.000 km
"Toyota RAV4 2,5 HYBRID 197KS 4X4 BIXENON LED NAVI KAMERA JBL EL.SICEVI",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-197ks-4x4-bixenon-led-navi-kamera-jbl-el-sicevi-oglas-50446504,19.980 €,Njemačka,2018,71.000 km
"Toyota RAV4 2,5 HYBRID, DYNAMIC, KAMERA, SENZORI, KUKA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-dynamic-kamera-senzori-kuka-oglas-51053701,33.300 €,Njemačka,2021,77.000 km
"Toyota RAV4 2,5 PLUG IN HYBRID - LED, NAVI, 360 KAMERA, HUD",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-hybrid-led-navi-360-kamera-hud-oglas-51052869,32.330 €,Njemačka,2021,82.635 km
"Toyota RAV4 2,5 HYBRID - Business Edition, LED, NAVI, KAMERA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-business-edition-led-navi-kamera-oglas-51052847,31.830 €,Njemačka,2021,80.800 km
"Toyota RAV4 2,5 HYBRID - LED, NAVI, KAMERA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-navi-kamera-oglas-51052816,31.700 €,Njemačka,2021,98.700 km
Toyota RAV4 2.5 HSD HYBRID 4x2 E-CVT ELEGANT - 3 godine jamstva,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-hybrid-4x2-e-cvt-elegant-oglas-50771454,32.490 €,,2022,113.811 km
"Toyota RAV4 2,5 HYBRID - LED, NAVI, KAMERA, TOYOTA GARANCIJA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-navi-kamera-toyota-garancija-oglas-51047477,30.350 €,Njemačka,2020,77.600 km
"Toyota RAV4 2,5 HYBRID - LED, NAVI, KAMERA, TOYOTA GARANCIJA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-navi-kamera-toyota-garancija-oglas-51047461,30.430 €,Njemačka,2020,92.640 km
"Toyota RAV4 2,5 HEV STYLE TECH *LEASING BEZ UČEŠĆA!",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hev-style-tech-oglas-49971278,45.800 €,"Trešnjevka - Jug, Prečko",2024,27.273 km
"Toyota RAV4 2,5 Hybrid GARANCIJA!",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-oglas-49008689,27.000 €,"Končanica, Končanica",2019,116.000 km
"TOYOTA RAV4 2,5 HYBRID, 126TKM, HR AUTO, GARAŽIRAN, GARANCIJA 3G.....",https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-oglas-50931607,"26.999,99 €","Gornja Dubrava, Gornja Dubrava",2018,126.000 km
"Toyota RAV4 2,5 HYBRID - LED, NAVI, KAMERA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-navi-kamera-oglas-51041131,29.999 €,Njemačka,2022,77.070 km
"Toyota RAV4 2,5 HYBRID - LED, NAVI, 360 KAMERA, ACC, GARANCIJA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-navi-360-kamera-acc-garancija-oglas-51040315,39.150 €,Njemačka,2025,47.000 km
"Toyota RAV4 2,5 HYBRID - BLACK, LED, NAVI, KAMERA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-black-led-navi-kamera-oglas-51040307,36.850 €,Njemačka,2024,39.000 km
"Toyota RAV4 2,5 HYBRID COMFORT 4X4 - LED, NAVI, KAMERA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-comfort-4x4-led-navi-kamera-oglas-51040090,32.390 €,Njemačka,2022,73.990 km
"Toyota RAV4 2,5 GR SPORT 2.5L HEV 4x4 - U PDVU",https://www.njuskalo.hr/auti/toyota-rav4-2.5-gr-sport-2.5l-hev-4x4-oglas-51040003,59.860 €,Njemačka Objavljen: 22.07.2026.,2026,150 km
Toyota RAV4 2.5 4x2 STYLE*HR AUTO*SERVISNA*GARANCIJA!,https://www.njuskalo.hr/auti/toyota-rav4-2.5-4x2-style-oglas-50518232,21.900 €,"Novi Zagreb - Istok, Veliko Polje",2019,189.300 km
Toyota RAV4 2.5 HSD Active Drive  automatik,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-active-drive-automatik-oglas-51039458,43.900 €,"Peščenica - Žitnjak, Peščenica",2025,24.000 km
"Toyota RAV4 2,5 Plug-In Hybrid  Style+Technik oprema",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-hybrid-style-technik-oprema-oglas-48964259,42.000 €,"Podsused - Vrapče, Trdica",2021,51.300 km
Toyota RAV4 2.5 E-CVT BLACK EDITION | Tvorničko Jamstvo | U PDV-U,https://www.njuskalo.hr/auti/toyota-rav4-2.5-e-cvt-black-edition-tvornicko-jamstvo-pdv-oglas-50964302,28.999 €,"Sesvete, Sesvete",2021,137.851 km
"Toyota RAV4 2,5 Hybrid DYNAMIC | Tvorničko Jamstvo | U PDV-U",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-dynamic-tvornicko-jamstvo-pdv-oglas-50919245,28.999 €,,2022,119.489 km
"Toyota RAV4 Hybrid 2,5 BUSINESS 4WD | Tvorničko Jamstvo",https://www.njuskalo.hr/auti/toyota-rav4-hybrid-2.5-business-4wd-tvornicko-jamstvo-oglas-50907152,28.999 €,,2021,137.195 km
"Toyota RAV4 HYBRID, STYLE TECH, Prvi  vlasnik, 50.000 km, 11/2022.",https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-oglas-50390654,37.000 €,"Gornji Grad - Medveščak, Britanac",2022,50.000 km
"Toyota RAV4 2,5 HYBRID - U PDV, KLIMAAUT, KAMERA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-pdv-klimaaut-kamera-oglas-51028630,52.850 €,Njemačka Objavljen: 20.07.2026.,2026,30 km
"Toyota RAV4 2,5 Hybrid Automatik,2022 god,Garancija,Kamera,Servisna",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-automatik-2022-god-garancija-kamera-servisna-oglas-50680496,31.550 €,"Novi Zagreb - Istok, Dugave",2022,94.000 km
TOYOTA RAV4 2.5 HSD HYBRID,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-hybrid-oglas-50986914,32.900 €,,2021,89.198 km
"Toyota RAV4 2,5 (306 KS) PHEV WLTP 75KM AWD-i eCVT KAMERA HUD JAMSTVO",https://www.njuskalo.hr/auti/toyota-rav4-2.5-306-ks-phev-wltp-75km-awd-ecvt-kamera-hud-jamstvo-oglas-46809533,37.777 €,Njemačka,2022,36.000 km
Toyota RAV4 2.5 (218 KS) Full Hybrid eCVT TOKIO CRVENA PERLA MOD 2023,https://www.njuskalo.hr/auti/toyota-rav4-2.5-218-ks-full-hybrid-ecvt-tokio-crvena-perla-mod-2023-oglas-46807927,34.860 €,Njemačka,2023,18.000 km
Toyota RAV4 2.5 (222 KS) Full Hybrid AWD-i eCVT ADVENTURE JBL! KAMERA,https://www.njuskalo.hr/auti/toyota-rav4-2.5-222-ks-full-hybrid-awd-ecvt-adventure-jbl-kamera-oglas-46807030,37.890 €,Njemačka,2022,29.000 km
Toyota RAV4 2.5 (218 KS) Hybrid e-CVT Black Edition ACC LED KAMERA 360,https://www.njuskalo.hr/auti/toyota-rav4-2.5-218-ks-hybrid-e-cvt-black-edition-acc-led-kamera-360-oglas-46793940,26.890 €,Njemačka,2020,86.000 km
