title,url,price,location,year,mileage
"Porsche Macan S 3.0 V6, Chrono, BOSE, Pano, Matrix, Koža, Navi, 20""",https://www.njuskalo.hr/auti/porsche-macan-chrono-bose-pano-matrix-koza-navigacija-20-oglas-49198214,51.900 €,"Donja Dubrava, Donja Dubrava Objavljen: 30.07.2026.",2019,122.169 km
"Porsche Macan III Facelift, HR Auto, Matrix, Kamera, 20"" alu, u PDV-u",https://www.njuskalo.hr/auti/porsche-macan-iii-facelift-hr-auto-matrix-kamera-20-alu-pdv-oglas-50347064,61.900 €,"Donja Dubrava, Donja Dubrava Objavljen: 30.07.2026.",2022,27.760 km
"Porsche Macan TURBO 3,6 V6 PDK * 400KS",https://www.njuskalo.hr/auti/porsche-macan-turbo-3.6-v6-pdk-400ks-oglas-50666419,43.800 €,"Peščenica - Žitnjak, Borongaj",2015,221.000 km
"Porsche Macan S 3,0 V6 Panorama Full Oprema Auto je kao novo!!!",https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-automatik-oglas-51086099,28.999 €,"Vrgorac, Vrgorac",2017,222.000 km
"Porsche Macan 4x4 /zračni ovj./360/matrix/pano/acc/22""  *GARANCIJA*",https://www.njuskalo.hr/auti/porsche-macan-4x4-automatik-oglas-49327010,82.000 €,"Krk, Krk Objavljen: 29.07.2026.",2024,49.500 km
"Porsche MacanS 3,0 V6 PDK, 4X4, 190KW, LED, NAVI, TEMP, REG 09/26",https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-oglas-49113923,24.990 €,"Osijek, Industrijska zona (Čepinska)",2014,199.000 km
"Porsche Macan 3,0 V6 PDK",https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-oglas-42254004,35.000 €,"Čakovec, Pustakovec",2015,175.000 km
PORSCHE MACAN S 3.0D * 4X4 * ODLIČNO STANJE * CHRONO * 26 999€ *,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-oglas-50820078,26.999 €,"Sesvete, Novi Jelkovec",2015,263.000 km
PORSCHE MACAN. NAVI.KAMERA.PANORAMA.64.000km.REGISTRIRAN,https://www.njuskalo.hr/auti/porsche-macan-navi-kamera-panorama-64.000km-registriran-oglas-46890177,59.990 €,"Sesvete, Kobiljak Objavljen: 29.07.2026.",2020,64.000 km
Porsche Macan S III,https://www.njuskalo.hr/auti/porsche-macan-iii-oglas-50761713,87.900 €,"Rijeka, Škurinje Objavljen: 29.07.2026.",2022,65.910 km
