title,url,price,location,year,mileage
"Nissan Qashqai 1,5 dCi,, AUT. BI-XENON, AUT. KLIMA, NAVI, TEMP, KAM...",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-oglas-50057979,16.990 €,"Osijek, Industrijska zona (Čepinska)",2020,108.000 km
"⭐️Nissan Qashqai 1.3⭐️ 360 KAM, Jamstvo, Leasing - Kredit",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-50509360,21.750 €,"Osijek - Okolica, Tenja",2022,81.400 km
Nissan Qashqai 1.3 DIG-T 160KS AUTOMATIK✅LEASING BEZ UČEŠĆA❗REG 04/27❗,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-160ks-automatik-leasing-bez-ucesca-reg-04-27-oglas-50478918,24.555 €,"Novska, Novska",2022,74.309 km
"Nissan Qashqai 1,3 DIG-T automatik Tekna+ LED-ALU-KAMERA 360-PANORAMA",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-automatik-tekna-led-alu-kamera-360-panorama-oglas-50666313,24.400 €,"Osijek - Okolica, Josipovac",2021,35.000 km
Nissan Qashqai 1.3 DIG-T NAVI • VIRTUAL • KAMERA 360° • LEASING,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-navi-virtual-kamera-360-leasing-oglas-50833404,32.900 €,"Osijek, Industrijska četvrt",2025,8.898 km
Nissan Qashqai 1.3 DIG-T NAVI • VIRTUAL • KAMERA 360° • LEASING,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-navi-virtual-kamera-360-leasing-oglas-50833305,33.900 €,"Osijek, Industrijska četvrt",2025,9.184 km
"Nissan Qashqai 1.3 DIG-T NAVI •VIRTUAL • ALU 16""• KAMERA  • LEASING",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-50816662,23.900 €,"Osijek, Industrijska četvrt",2023,66.216 km
Nissan Qashqai 1.5 automatik ●e-POWER 190●FULL OPREMA ●360°●U PDV-u●,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-automatik-190ps-e-power-full-oprema-pdv-oglas-50960329,20.990 €,"Sesvete, Sopnica",2023,159.000 km
⭐️NISSAN QASHQAI 1.3 DIG-T⭐️TEKNA◼️AUTOMATIK◼️3 GODINE JAMSTVA✅⭐️,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-tekna-automatik-3-godine-jamstva-oglas-50982509,22.799 €,"Koprivnica, Banovac",2022,92.950 km
"Nissan Qashqai 1,3 DIG-T MHEV Tekna X-Tronic",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-mhev-tekna-x-tronic-oglas-50258861,24.450 €,,2022,106.794 km
NISSAN QASHQAI 1.3 DIG-T 160 KS N-CONNECTA AUTOMATIK - ***9.000 KM***,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-160-ks-n-connecta-automatik-samo-8.000-km-oglas-47614840,30.650 €,"Koprivnica, Podolice",2024,9.000 km
"Nissan Qashqai 1,5 dCi Automatik (PANORAMSKI KROV/P.KAMERU 360)AKCIJA",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-automatik-panoramski-krov-oglas-50311713,15.990 €,"Rijeka, Srdoči",2021,130.000 km
Nissan Qashqai 1.5 automatik,https://www.njuskalo.hr/auti/nissan-qashqai-1.5-automatik-oglas-49494814,26.500 €,"Stenjevec, Špansko",2023,40.000 km
"Nissan Qashqai 1,5 dCi automatik * rata 250€ BEZ UČEĆA * SERVISNA *",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-automatik-leasing-1-7-god-servisna-oglas-49841199,17.450 €,"Antunovac, Antunovac",2020,92.671 km
"Nissan Qashqai 1,7 DCI 4WD AUTOMATIK TEKNA+, JAMSTVO, PANO, FULL",https://www.njuskalo.hr/auti/nissan-qashqai-1.7-dci-4wd-automatik-tekna-jamstvo-pano-full-oglas-51083379,19.900 €,"Peščenica - Žitnjak, Peščenica",2020,119.000 km
"NISSAN QASHQAI 1,5DCI TEKNA.AUTOMATIK.NAVI.KAMERA.KUKA.REGISTRIRAN",https://www.njuskalo.hr/auti/nissan-qashqai-1.5dci-tekna-automatik-navi-kamera-kuka-registriran-oglas-50107806,17.990 €,"Sesvete, Kobiljak",2021,113.718 km
"Nissan Qashqai 1,3 DIG-T MHEV Tekna X-Tronic",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-mhev-tekna-x-tronic-oglas-51082005,35.000 €,,2025,7.500 km
Nissan Qashqai 1.3 TEKNA PLUS 89TKM SERV LED NAVI KAMERA PANORAMA VIRT,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-48423172,23.999 €,"Osijek, Retfala",2022,89.000 km
"NISSAN QASHQAI  HIBRID  1.3 TEKNA, AUTOMATIK",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-tekna-automatik-oglas-48182017,24.900 €,"Dugo Selo, Dugo Selo - Zapad",2023,73.880 km
"Nissan Qashqai 1,5 dCi AUTOMATIC,TEKNA, JAMSTVO",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-automatic-tekna-jamstvo-oglas-50761897,18.500 €,"Osijek, Cvjetno naselje",2020,139.530 km
"NISSAN QASHQAI 1,3 MHEV 158 XTRON CVT BUSINESS EDITION, JAMSTVO",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-mhev-158-xtron-cvt-business-edition-1-g-jamstvo-oglas-50123314,22.900 €,"Osijek, Industrijska zona (Čepinska)",2022,114.840 km
"Nissan Qashqai 1.3 MHEV Xtronic Acenta, LEASING BEZ UČEŠĆA I BEZ JAMCA",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-mhev-xtronic-acenta-dolasku-oglas-50672408,25.299 €,"Čepin, Livana",2023,36.321 km
"Nissan Qashqai 1,5 dCi - R.KAMERA,NAVI, LEASING BEZ UČEŠĆA I BEZ JAMCA",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-automatik-navi-leasing-bez-ucesca-oglas-47643725,16.799 €,"Čepin, Livana",2020,127.973 km
Nissan Qashqai 1.3 automatik 51000km benzin hibrid,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-automatik-oglas-50638041,22.700 €,"Pleternica, Pleternica",2023,51.520 km
Nissan Qashqai 1.3 158 CVT - 22.000 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-47801682,23.600 €,"Podsljeme, Mlinovi",2021,21.200 km
"Nissan Qashqai 1,5dCi TEKNA+  AUTOMAT,ACC,PANORAMA,MEMORIJA,360°KAMERA",https://www.njuskalo.hr/auti/nissan-qashqai-1.5dci-tekna-automat-acc-panorama-memorija-360-kamera-oglas-51073914,17.999 €,"Osijek, Industrijska zona (Čepinska)",2020,87.138 km
Nissan Qashqai AUTOMATIK 1.3 DIG-T – (160 KS),https://www.njuskalo.hr/auti/nissan-qashqai-automatik-1.3-dig-t-160-ks-oglas-49563284,16.500 €,"Trešnjevka - Jug, Jarun",2020,102.000 km
Nissan Qashqai 1.3 HEV**AUTOMATIC**ALU**LED**,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-hev-automatic-alu-led-oglas-50959362,25.300 €,"Peščenica - Žitnjak, Savica - Šanci",2024,59.000 km
"NISSAN QASHQAI 1,3 DIG-T 160, AUTOTIK",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-160-autotik-oglas-51040061,18.600 €,"Mursko Središće, Mursko Središće",2021,97.500 km
"Nissan Qashqai  1,5 dCi N-CONNECTA - IZVRSNO STANJE",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-n-connecta-oglas-48317724,18.490 €,"Oroslavje, Oroslavje",2020,124.000 km
"Nissan Qashqai 1.3 DIG-T, TEKNA, AUTOMATIK, JAMSTVO, LEASING 0% UČEŠĆA",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-tekna-automatik-jamstvo-leasing-0-ucesca-oglas-51001357,24.900 €,"Sesvete, Đurđekovec",2023,84.000 km
"Nissan Qashqai 1,3 automatik",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-automatik-oglas-50591232,15.500 €,"Osijek, Sjenjak",2020,130.000 km
NISSAN QASHQAI 2020 • PREMIUM jamstvo • AutoZubak Rabljena,https://www.njuskalo.hr/auti/nissan-qashqai-2020-premium-jamstvo-autozubak-rabljena-oglas-51055184,19.997 €,,2020,91.456 km
"Nissan Qashqai 158KS *TEKNA+*PANO,VIRT.,HUD,360,BOSE,TV.JAMST.01/29",https://www.njuskalo.hr/auti/nissan-qashqai-1.3dig-t-tekna-pano-virt-hud-360-bose-tv-jamst-01-29-oglas-50866493,34.999 €,"Osijek, Industrijska zona (Čepinska)",2026,10.298 km
"Nissan Qashqai 158KS *TEKNA+* PANO,VIRT.,HUD,360,BOSE,TV.JAMST. 01/29",https://www.njuskalo.hr/auti/nissan-qashqai-1.3dig-t-tekna-virtual-head-up-alcatara-tv-jamstvo-oglas-50781767,34.999 €,"Osijek, Industrijska zona (Čepinska)",2026,8.219 km
"Nissan Qashqai 1,5 dCi automatik 360 pak.op...MOGUĆNOST GARANCIJE 2 g",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-automatik-360-pak-op-mogucnost-garancije-2-g-oglas-51050861,14.950 €,"Viškovo, Kosi",2020,147.200 km
"Nissan Qashqai 1.5 dCi AUTOMATIK,JAMSTVO,NAVI,KAMERA,RADAR,U PDV-U!",https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-automatik-kamera-radar-navi-led-1-vl-pdv-oglas-49265228,16.990 €,"Podsljeme, Štefanovec",2021,117.000 km
"Nissan Qashqai 1.3 MHEV AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-mhev-automatik-led-navigacija-kamera-oglas-51049323,23.900 €,,2023,18.718 km
"Nissan Qashqai 1.3 MHEV 48TKM,SERV.,NAVI.,LED,KAM.360,PANO,KOŽA,TEKNA+",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-mhev-48tkm-serv-navi-led-kam-360-pano-koza-tekna-oglas-51046779,24.990 €,"Osijek, Gornji grad / Centar",2022,48.000 km
"Nissan Qashqai 1.3 MHEV 41TKM,SERV.,NAVI.,LED,ALU.,VIRT,KAM.360,N CONN",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-mhev-41tkm-serv-navi-led-alu-virt-kam-360-n-conn-oglas-51045542,23.990 €,"Osijek, Gornji grad / Centar",2022,41.000 km
Nissan Qashqai 1.3,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-51044586,22.500 €,"Novi Zagreb - Zapad, Remetinec",2022,130.000 km
"Nissan Qashqai 1,3 DIG-T MHEV N-Connecta X-Tronic",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-mhev-n-connecta-x-tronic-oglas-50907688,28.800 €,,2025,25.600 km
"NISSAN Qashqai 1.3 xtronic, 116kW/158 KS",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-oglas-50862283,19.500 €,"Split - Okolica, Kamen",2023,60.299 km
"NISSAN Qashqai 1.3  xtronic, 116kW/158 KS",https://www.njuskalo.hr/auti/nissan-qashqai-1.3-xtronic-116kw-158-ks-oglas-48842642,20.500 €,"Split - Okolica, Kamen",2022,89.883 km
