title,url,price,location,year,mileage
"Toyota RAV4 2.5 Hybrid , LED, Kamera, Navi, Servisna, Jamstvo...",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-kamera-navi-servisna-jamstvo-oglas-50798189,30.800 €,"Donja Dubrava, Retkovec",2020,40.100 km
"Toyota RAV4 2.5 Hybrid , LED, Kamera, Navi, Servisna, Jamstvo...",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-led-kamera-navi-servisna-jamstvo-oglas-50798231,30.800 €,"Donja Dubrava, Retkovec",2020,40.100 km
Toyota RAV4 Plug in Hibryd Executive,https://www.njuskalo.hr/auti/toyota-rav4-plug-in-hibryd-executive-oglas-51044941,41.900 €,"Osijek, Gornji grad / Centar",2023,102.772 km
"Toyota RAV4 2,5 Plug-In Hybrid  Style+Technik oprema",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-hybrid-style-technik-oprema-oglas-48964259,42.000 €,"Podsused - Vrapče, Trdica",2021,51.300 km
"Toyota RAV4 2,5 HYBIRD",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybird-oglas-51065065,34.900 €,"Črnomerec, Bijenik",2021,74.000 km
"Toyota RAV4 2,5 Plug-in 4x4 automatik",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-4x4-automatik-oglas-51078327,39.500 €,"Rijeka, Marčeljeva Draga",2022,69.700 km
"Toyota RAV4 2.5, Plug In Hybrid, 306KS 4x4",https://www.njuskalo.hr/auti/toyota-rav4-2.5-plug-in-hybrid-306ks-4x4-oglas-51054796,48.000 €,"Črnomerec, Bijenik",2024,32.500 km
"Toyota RAV4 2,5 HIBRID, KOŽA, GRIJANJE SJEDALA. HR JAMSTVO, NAVI...",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hibrid-koza-grijanje-sjedala-hr-jamstvo-navi-oglas-51073353,28.800 €,"Gornja Dubrava, Klaka",2020,143.000 km
TOYOTA*RAV4*2.5 HYB-218KS*AUT*2022.G*KAMERA*NAVI*LED*JAMSTVO*29900E,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hyb-218ks-aut-2022-g-kamera-navi-led-jamstvo-28900e-oglas-50761623,29.900 €,"Gornja Dubrava, Studentski grad",2022,126.832 km
"Toyota RAV4 2,0 automatik",https://www.njuskalo.hr/auti/toyota-rav4-2.0-automatik-oglas-50730411,31.000 €,"Oroslavje, Oroslavje",2022,89.000 km
Toyota RAV4 2.5 HSD HYBRID 4x2 E-CVT ELEGANT - 3 godine jamstva,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-hybrid-4x2-e-cvt-elegant-oglas-50771454,32.490 €,,2022,113.811 km
Toyota RAV4 2.5 HSD Active Drive  automatik,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-active-drive-automatik-oglas-51039458,43.900 €,"Peščenica - Žitnjak, Peščenica",2025,24.000 km
Toyota RAV4 2.5 E-CVT BLACK EDITION | Tvorničko Jamstvo | U PDV-U,https://www.njuskalo.hr/auti/toyota-rav4-2.5-e-cvt-black-edition-tvornicko-jamstvo-pdv-oglas-50964302,28.999 €,"Sesvete, Sesvete",2021,137.851 km
"Toyota RAV4 2,5 Hybrid DYNAMIC | Tvorničko Jamstvo | U PDV-U",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-dynamic-tvornicko-jamstvo-pdv-oglas-50919245,28.999 €,,2022,119.489 km
"Toyota RAV4 Hybrid 2,5 BUSINESS 4WD | Tvorničko Jamstvo",https://www.njuskalo.hr/auti/toyota-rav4-hybrid-2.5-business-4wd-tvornicko-jamstvo-oglas-50907152,28.999 €,,2021,137.195 km
"Toyota RAV4 HYBRID, STYLE TECH, Prvi  vlasnik, 50.000 km, 11/2022.",https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-oglas-50390654,37.000 €,"Gornji Grad - Medveščak, Britanac",2022,50.000 km
"Toyota RAV4 2,5 Hybrid Automatik,2022 god,Garancija,Kamera,Servisna",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hybrid-automatik-2022-god-garancija-kamera-servisna-oglas-50680496,31.550 €,"Novi Zagreb - Istok, Dugave",2022,94.000 km
TOYOTA RAV4 2.5 HSD HYBRID,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-hybrid-oglas-50986914,32.900 €,,2021,89.198 km
"Toyota RAV4 2,5 Velika Navi Dvobojan Kamera",https://www.njuskalo.hr/auti/toyota-rav4-2.5-hibrid-velika-navi-dvobojan-kamera-oglas-48875993,35.250 €,"Stenjevec, Donje Vrapče",2023,163.800 km
TOYOTA RAV4 2.5 HSD HYBRID,https://www.njuskalo.hr/auti/toyota-rav4-2.5-hsd-hybrid-oglas-50951227,28.900 €,,2021,133.502 km
"Toyota RAV4 2,5 LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/toyota-rav4-2.5-leasing-bez-ucesca-bez-jamaca-oglas-50943119,28.999 €,"Sesvete, Sesvete",2022,119.489 km
Toyota RAV4 2.5 Hybrid 222 CVT Dynamic Business 4WD,https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-oglas-50940886,36.000 €,"Podsused - Vrapče, Vrapče",2021,83.000 km
Toyota RAV4 Hybrid AWD-i – Executive/JBL – 360° kamera – Android Auto,https://www.njuskalo.hr/auti/toyota-rav4-hybrid-awd-executive-jbl-360-kamera-android-auto-oglas-50894306,28.900 €,"Dugo Selo, Dugo Selo - Centar",2020,125.992 km
"Toyota RAV4 2,5 Style Selection Plus",https://www.njuskalo.hr/auti/toyota-rav4-2.5-automatik-oglas-49317749,48.500 €,"Podsused - Vrapče, Trdica",2024,20.000 km
