title,url,price,location,year,mileage
BMW serija 3 320d,https://www.njuskalo.hr/auti/bmw-serija-3-320d-oglas-50566629,28.000 €,"Trešnjevka - Jug, Prečko",2022,129.431 km
"BMW serija 3 318d AUTOMATIK, DIGITALNA SERVISNA, TOP OPREMA!",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-oglas-50960979,22.999 €,"Zadar, Višnjik",2021,204.000 km
BMW serija 3 318d automatik- 1.VLASNIK - KUPLJEN U TOMIĆ&CO - KAO NOV,https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-1-vlasnik-kupljen-tomic-co-kao-nov-oglas-50770137,18.900 €,"Rugvica, Okunšćak",2020,250.000 km
BMW 320D MILD HYBRID KONJAK KOŽA HEAD UP ŠIBER KAMERE RADAR SERVIS.,https://www.njuskalo.hr/auti/bmw-serija-3-320d-automatik-mild-hybrid-oglas-50378015,33.000 €,"Karlovac, Švarča",2021,94.000 km
BMW serija 3 330i automatik,https://www.njuskalo.hr/auti/bmw-serija-3-330i-automatik-oglas-50990306,41.000 €,"Sesvete, Sesvetska sela",2021,75.000 km
BMW serija 3 316d Aut.,https://www.njuskalo.hr/auti/bmw-serija-3-316d-aut-oglas-50214408,29.900 €,"Čakovec, Globetka",2022,89.838 km
BMW serija 3 320d⭐️automatik⭐️M SPORT⭐️LED⭐️NAVI⭐️M LENKRAD⭐️,https://www.njuskalo.hr/auti/bmw-serija-3-320d-automatik-m-sport-led-navi-m-lenkrad-oglas-50952769,33.990 €,"Koprivnica, Banovac",2020,63.900 km
BMW serija 3,https://www.njuskalo.hr/auti/bmw-serija-3-oglas-50536037,25.500 €,"Križevci, Križevci",2022,180.000 km
BMW serija 3 318i automatik M-Pack Lci,https://www.njuskalo.hr/auti/bmw-serija-3-318i-automatik-m-pack-lci-oglas-50885533,31.400 €,"Novi Zagreb - Zapad, Lučko",2022,135.000 km
BMW serija 3 Sport Line Limited Edition – 2021. godište – TOP STANJE,https://www.njuskalo.hr/auti/bmw-serija-3-sport-line-limited-edition-2021-godiste-top-stanje-oglas-51063355,29.500 €,"Osijek, Retfala",2021,105.000 km
"BMW serija 3 318d aut. 2.0 d 150 ks, Led,Pdc,sport sjedala,nema 5%",https://www.njuskalo.hr/auti/bmw-serija-3-318d-aut-2.0-d-150-ks-led-sport-sjedala-nema-5-oglas-47226618,22.500 €,"Cestica, Brezje Dravsko",2020,134.000 km
"BMW serija 3 320d automatik, LED, Navi, alu felge, servisna, u PDV-u!",https://www.njuskalo.hr/auti/bmw-serija-3-320d-automatik-led-navi-alu-felge-servisna-pdv-oglas-49404022,25.300 €,"Donja Dubrava, Retkovec",2021,116.038 km
⚡️AKCIJA⚡️BMW 330 -292KS ◾///M PAKET◾BMW SERVISNA I GARANCIJA ◾KAO NOV,https://www.njuskalo.hr/auti/bmw-serija-3-330e-automatik-oglas-48426271,34.000 €,"Solin, Centar",2022,93.000 km
"BMW 320d Automatik, M sport, Laser",https://www.njuskalo.hr/auti/bmw-serija-3-320d-automatik-oglas-48548433,43.900 €,"Koprivnica, Lenišće",2024,27.000 km
"BMW serija 3 318d,Automatik,M-Paket,Led,Virtual,Navi,Toop Stanje,.",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-m-paket-led-virtual-navi-toop-stanje-oglas-50102817,25.990 €,"Zaprešić, Centar",2020,160.000 km
BMW 318d M paket HR auto Tomić 66800 km,https://www.njuskalo.hr/auti/bmw-serija-3-320d-automatik-oglas-51035959,34.900 €,"Peščenica - Žitnjak, Žitnjak",2022,66.800 km
BMW 320i Sportline Navi Sportska sjedala u PDV-u,https://www.njuskalo.hr/auti/bmw-serija-3-320i-automatik-oglas-51046786,25.900 €,"Peščenica - Žitnjak, Žitnjak",2021,123.000 km
