title,url,price,location,year,mileage
Kia Sportage 1.6CRDI/DIESEL/AKCIJA/2023g./automatik/JAMSTVO/U PDV,https://www.njuskalo.hr/auti/kia-sportage-1.6crdi-diesel-2023g-automatik-jamstvo-pdv-oglas-50996021,"22.999,99 €","Pula, Ilirija",2023,111.085 km
"Kia Sportage 1.6 CRDI automatik DCT7, Active, led farovi, navi, kamera",https://www.njuskalo.hr/auti/kia-sportage-1.6-crdi-automatik-dct7-active-led-farovi-navi-kamera-oglas-51072416,19.900 €,"Varaždin, Banfica",2022,122.900 km
"KIA Sportage 1,6 T-GDi LX FRESH DCT 2WD, JAMSTVO",https://www.njuskalo.hr/auti/kia-sportage-1.6-t-gdi-lx-fresh-dct-2wd-jamstvo-oglas-50657637,31.499 €,,2025,
"KIA Sportage 1.6 CRDI MHEV EX STYLE, KAMERA, BT, TEMPOMAT, JAMSTVO",https://www.njuskalo.hr/auti/kia-sportage-1.6-crdi-vozilo-dolasku-jamstvo-oglas-50858414,27.990 €,,2022,17.714 km
"KIA Sportage 1,6 T-GDi EX FRESH PLUS DCT 2WD, JAMSTVO",https://www.njuskalo.hr/auti/kia-sportage-1.6-t-gdi-ex-fresh-plus-dct-2wd-jamstvo-oglas-50657635,33.990 €,,2025,
"KIA Sportage 1.6 T-GDI FRESH DCT, NAVIGACIJA, STRAŽNJA KAMERA, GRIJANJ",https://www.njuskalo.hr/auti/kia-sportage-1.6-t-gdi-vozilo-dolasku-jamstvo-oglas-51033938,25.990 €,,2023,12.847 km
"KIA Sportage HEV GT-LINE, PANORAMA, NAVIGACIJA, STRAŽNJA KAMERA, JAMST",https://www.njuskalo.hr/auti/kia-sportage-1.6-t-gdi-vozilo-dolasku-jamstvo-oglas-50955467,33.499 €,,2024,55.660 km
"KIA Sportage 1.6 T-GDI GT-LINE, GRIJANJE VOLANA, GRIJANJE SJEDALA, PAN",https://www.njuskalo.hr/auti/kia-sportage-1.6-t-gdi-gt-line-grijanje-volana-grijanje-sjedala-pan-oglas-50782158,32.990 €,,2023,60.384 km
"Kia Sportage  1,6 T-GDi HEV EX STYLE A/T 2WD 7DCT MRV",https://www.njuskalo.hr/auti/kia-sportage-1.6-t-gdi-hev-ex-style-a-t-2wd-automatik-oglas-49776538,37.999 €,"Donja Dubrava, Resnički gaj",2025,19.928 km
"Kia Sportage 1.6 crdi automatik, Led,Navi,Virtual nema 5% u pdv",https://www.njuskalo.hr/auti/kia-sportage-1.6-crdi-automatik-led-navi-virtual-nema-5-oglas-49859206,22.950 €,"Cestica, Brezje Dravsko",2023,119.000 km
