title,url,price,location,year,mileage
"Alfa Romeo Stelvio 2,2 Diesel automatik",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-automatik-oglas-48894892,25.490 €,"Sesvete, Sopnica",2020,125.000 km
"Alfa Romeo Stelvio 2,2 JTDM 190KS Q4 AUTOMATIK —Mod 2022—4X4 POGON—TOP",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtdm-190ks-q4-automatik-mod-2022-4x4-pogon-top-oglas-51025704,25.999 €,"Kaštela, Kaštel Lukšić",2021,110.000 km
"Alfa Romeo Stelvio 2.2 M-Jet , Q4, 190KS, Veliki servis, U PDV u.",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-m-jet-q4-190ks-veliki-servis-pdv-oglas-50371250,28.400 €,"Donja Dubrava, Retkovec",2022,101.340 km
"Alfa Romeo Stelvio 2.2 M-Jet , Q4, 190KS, Veliki servis, U PDV u.",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-q4-190ks-servisna-pdv-oglas-49209161,29.999 €,"Donja Dubrava, Retkovec",2022,82.800 km
"Alfa Romeo Stelvio 2,2 JTD - Q4 - 2024 - 45.000KM - HR AUTO!!",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtd-q4-2024-45.000km-hr-auto-oglas-50188751,"40.999,99 €","Rijeka, Martinkovac",2024,45.083 km
"Alfa Romeo Stelvio 2,2 JTD Q4 Veloce - 2025 - 19.000km - FULL - REG !!",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtd-q4-veloce-2025-19.000km-full-reg-oglas-50184642,49.999 €,"Rijeka, Martinkovac",2025,19.000 km
ALFA ROMEO Stelvio Veloce 2.2 210 KS Q4,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-veloce-2.2-210-ks-q4-oglas-51083295,46.690 €,"Stenjevec, Jankomir",2025,22.940 km
"Alfa Romeo Stelvio 2,2 Diesel automatik",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-automatik-oglas-50262993,24.990 €,"Sesvete, Sopnica",2021,143.000 km
"Alfa Romeo STELVIO  2,2 D 190 4WD",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-d-oglas-50432463,21.900 €,"Podsused - Vrapče, Dolec",2020,166.850 km
"Alfa Romeo Stelvio 2.2 JTD ""ROSSO EDIZIONE"",ALU 19,RADAR,KAMERA,U PDVU",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtd-rosso-edizione-redizajn-automatik-oglas-49717259,24.990 €,"Podsljeme, Štefanovec",2021,83.000 km
"Alfa Romeo Stelvio Veloce 2,2d ⭐AKCIJA - 2G. JAMSTVA + REGISTRACIJA⭐",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-d-154-kw-veloce-q4-h-k-20-alu-matrix-led-oglas-50197695,42.990 €,"Zadar, Crno",2024,46.655 km
"Alfa Romeo Stelvio 2,2 190 Q4 BUSINESS 4XGARANCIJE",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-190-q4-business-4xgarancije-oglas-48318224,24.999 €,"Trnje, Martinovka",2021,119.202 km
"Alfa Romeo Stelvio 2,2 Diesel *REDIZAJN*FULL*KOŽA*RADARI*VEL.servis*",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-redizajn-full-koza-radari-vel-servis-oglas-48644854,23.999 €,"Sesvete, Kraljevečki Novaki",2020,150.000 km
"Alfa Romeo Stelvio 2,2",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-oglas-48019875,28.000 €,"Viškovo, Viškovo",2021,155.000 km
"Alfa Romeo Stelvio 2,2 MJT Sprint Q4 ATX8",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-mjt-sprint-q4-atx8-oglas-48913880,39.990 €,"Varaždin, Brezje",2024,46.015 km
"Alfa Romeo Stelvio 2,2 MJT Ti Q4 ATX8",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-mjt-ti-q4-atx8-oglas-44464947,36.990 €,"Varaždin, Biškupec",2022,18.450 km
"Alfa Romeo Stelvio, Veloce Ti 2,2 Diesel Q4 154kw 210 ks 82500  km.",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-veloce-ti-2.2-diesel-q4-154kw-210-ks-80500-km-oglas-50782580,38.900 €,"Otočac, Otočac",2021,82.500 km
Alfa Romeo Stelvio 2.2 Turbodiesel 210 KS AT8 Q4 Ti Aut.,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-turbodiesel-210-ks-at8-q4-ti-aut-oglas-49570010,28.800 €,"Novi Zagreb - Istok, Dugave",2021,104.007 km
"Alfa Romeo Stelvio 2,2 Q4 210 VELOCE AUT.",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-q4-210-veloce-aut-oglas-50258159,35.800 €,"Novi Zagreb - Istok, Dugave",2024,130.540 km
"Alfa Romeo Stelvio 2.2d turbo VELOCE BLACK, 20"", Facelift, zamjena",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-automatik-oglas-50894524,24.900 €,"Split, Sirobuja",2021,214.500 km
"Alfa Romeo Stelvio 2,2 MJT 210 Ks Veloce Q4 ATX8, Matrix, memo, koža",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-mjt-210-ks-veloce-q4-atx8-oglas-49935646,45.500 €,"Čakovec, Jug",2024,26.000 km
ALFA ROMEO Stelvio Veloce 2.2 210 KS Q4,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-veloce-2.2-210-hp-q4-oglas-51057556,46.690 €,"Stenjevec, Jankomir",2025,28.568 km
"Alfa Romeo Stelvio 2,2 JTD Q4 / JAMSTVO + REGISTRACIJA",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtd-q4-jamstvo-registracija-oglas-47644826,26.900 €,"Rijeka, Škurinje",2021,101.563 km
"Alfa Romeo Stelvio 2,2 JTDm Veloce Ti-LEASING•Crvena koža•V. servis!",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtdm-veloce-ti-leasing-crvena-koza-v-servis-oglas-50417600,28.990 €,"Novska, Novska",2020,100.000 km
"Alfa Romeo Stelvio 2.2D 190 Q4 SPRINT,KAMERA,RADAR,ALU 19,KOŽA,U PDV-U",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2d-190-q4-sprint-kamera-radar-alu-19-koza-pdv-oglas-50068004,22.990 €,"Podsljeme, Štefanovec",2020,157.000 km
"Alfa Romeo Stelvio 2,2 VELOCE 4/2022",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-oglas-48016023,33.300 €,"Čakovec, Vojni Vrtovi",2021,70.000 km
"Alfa Romeo Stelvio 2,2d ""full servis"" alu 21""",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-automatik-oglas-50722563,"16.999,99 €","Dugo Selo - Okolica, Puhovo",2021,120.000 km
"Alfa Romeo Stelvio Sprint 2,2 210 KS Q4",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-sprint-2.2-210-ks-awd-oglas-50762753,36.900 €,"Stenjevec, Jankomir",2024,45.607 km
"Alfa Romeo Stelvio Q4 2,2 | 24MJ JAMSTVA | PDV",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-q4-2.2-24mj-jamstva-pdv-oglas-50991299,29.999 €,"Sesvete, Sesvete",2023,95.163 km
"Alfa Romeo Stelvio 2,0 Turbo automatik",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.0-turbo-automatik-oglas-51031714,32.900 €,"Sesvete, Sesvete",2021,71.500 km
Alfa Romeo Stelvio Veloce,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-veloce-oglas-50115076,32.900 €,"Velika Gorica, Galženica",2021,80.500 km
"Alfa Romeo Stelvio 2,2 190ks Q4, 2021g,",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-super-automatik-2021g-oglas-47734147,24.800 €,"Požega, Tekija",2021,138.000 km
"Alfa Romeo Stelvio 2,2 D Sprint",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-d-sprint-oglas-50483449,21.600 €,"Duga Resa, Gornje Mrzlo Polje Mrežničko",2020,113.020 km
Alfa Romeo Stelvio automatik Q4,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-automatik-q4-oglas-51022024,28.500 €,"Bjelovar, Centar",2021,89.000 km
ALFA ROMEO Stelvio Veloce 2.2 210 HP Q4,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-veloce-2.2-210-hp-awd-oglas-51011393,46.990 €,"Stenjevec, Jankomir",2025,32.000 km
"Alfa Romeo Stelvio 2,2",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-oglas-50792068,28.800 €,"Varaždin, Banfica",2020,136.400 km
Alfa Romeo Stelvio Veloce Q4 2.2,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-veloce-q4-2.2-oglas-50791925,39.999 €,"Trešnjevka - Jug, Jarun",2023,81.200 km
"Alfa Romeo Stelvio 2,2 D AUT. BUS.|CARP|KAM|ALU|ACC|JAMSTVO|RATA 224 €",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-d-aut-business-carp-kamera-alu-acc-jamstvo-oglas-47533583,22.900 €,"Donja Dubrava, Retkovec",2021,101.200 km
"Alfa Romeo Stelvio 2.2 JTDm Q4 Veloce, kupljen u HR, jamstvo 4.g.",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtdm-q4-veloce-kupljen-hr-jamstvo-4-g-oglas-50395981,49.900 €,"Rijeka, Martinkovac",2025,13.900 km
"Alfa Romeo Stelvio Competizione, sportska sjedala, LED svjetla",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-competizione-sportska-sjedala-led-svjetla-oglas-47052231,56.390 €,"Rijeka, Martinkovac Objavljen: 14.07.2026.",2024,40.000 km
"Alfa Romeo Stelvio 2,2da *ESSENTIA EDITION*ACC TEMPOMAT*P.D.C*",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2da-essentia-edition-acc-tempomat-p-d-c-oglas-50967252,19.900 €,"Sesvete, Sesvete",2020,208.000 km
"Alfa Romeo Stelvio 2,2 veloce Q4",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtdm-automatik-oglas-50705167,26.999 €,"Petrinja, Petrinja",2020,165.000 km
"Alfa Romeo Stelvio 2,2 LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-leasing-bez-ucesca-bez-jamaca-oglas-50943234,28.999 €,"Sesvete, Sesvete",2023,108.155 km
Alfa Romeo Stelvio 2.2 AT | Automatik | Pravi vozački SUV | Zagreb,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-automatik-oglas-49887879,48.500 €,"Trešnjevka - Sjever, Trešnjevka",2024,51.000 km
Alfa Romeo Stelvio 2.2 Q4 VELOCE - 3 godine jamstva,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-q4-veloce-3-godine-jamstva-oglas-50922863,27.900 €,,2021,185.393 km
"Alfa Romeo Stelvio 2,2 Veloce Premium 2.2 Multijet Q4 AT8 Panorama",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-oglas-49915911,35.200 €,"Zadar, Diklo",2023,105.000 km
"Alfa Romeo Stelvio 2,0 Turbo 280 KS (uklj. PDV)",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.0-turbo-280-ks-oglas-47693787,22.500 €,"Črnomerec, Črnomerec",2020,335.000 km
Alfa Romeo Stelvio 6C Villa d'Este 2.0 Turbo 280 KS Limited Edition,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.0-turbo-oglas-50822811,45.000 €,"Rovinj, Rovinj",2021,106.000 km
"Alfa Romeo Stelvio 2,0 Turbo Veloce",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.0-turbo-oglas-47290031,33.000 €,"Split, Meje",2021,100.000 km
Alfa Romeo Stelvio 2.2 AUT.,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-aut-oglas-49252580,50.900 €,"Split, Pazdigrad Objavljen: 12.06.2026.",2025,13.000 km
Alfa Romeo Stelvio 2.2 AUT.,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-aut-oglas-48451656,46.900 €,"Split, Pazdigrad",2024,45.650 km
Alfa Romeo Stelvio 2.2 AUT.,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-aut-oglas-48451661,50.900 €,"Split, Pazdigrad Objavljen: 12.06.2026.",2025,12.000 km
"Alfa Romeo Stelvio 2,2 Diesel automatik",https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-automatik-oglas-50607288,26.700 €,"Buzet, Buzet",2021,59.000 km
