title,url,price,location,year,mileage
Hyundai Tucson 1.7 CRDi * reg 03/27 * od 1 vlasnika * servisiran *,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-reg-03-27-1-vlasnika-servisiran-oglas-50952436,14.150 €,"Osijek, Donji grad",2018,154.000 km
Hyundai Tucson 1.7 CRDi Premium • Panorama • Koža • Navi • Kamera •,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-50967681,14.990 €,"Zlatar, Zlatar",2016,136.000 km
"Hyundai Tucson 1,6 GDI IMPRESSION, 1.vl, SAMO 87.000km, KREDITI",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-gdi-impression-1-vl-samo-87.000km-krediti-oglas-51090398,1 €,"Maruševec, Čalinec Objavljen: 30.07.2026.",2017,87.000 km
"Hyundai Tucson 1,6 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50525561,20.600 €,"Osijek - Okolica, Tenja",2023,143.000 km
"Hyundai Tucson 2,0 CRDi AUTOMATIK MOGUCA ZAMJENA AUTO ODLICAN",https://www.njuskalo.hr/auti/hyundai-tucson-2.0-crdi-gls-automatik-oglas-50158672,4.850 €,"Velika Gorica - Okolica, Mičevec",2005,200.000 km
"Hyundai Tucson 1.7 CRDi 2017g,cijena nije fix.reg,06/27",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-46723068,9.100 €,"Đakovo, Đakovo",2017,299.500 km
"Hyundai Tucson 1,6 CRDi ⭐️ REGISTRIRAN ⭐️",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-registriran-oglas-46568462,16.990 €,"Novi Zagreb - Zapad, Odra",2020,134.700 km
"Hyundai Tucson 1,6 CRDi, 48V Hybrid, automatik, LED, registriran",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-hybrid-automatik-led-registriran-oglas-50716418,19.999 €,"Zaprešić, Centar",2021,142.000 km
"Hyundai Tucson 1,6 CRDi 48V, LED, NAVI, KAMERA, ALU 17"", GARANCIJA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-led-navi-kamera-alu-17-garancija-oglas-50880909,22.900 €,"Donja Dubrava, Donja Dubrava",2022,62.000 km
"Hyundai Tucson 1,6T automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-automatik-oglas-50287320,24.300 €,"Gornja Dubrava, Dubec",2022,100.000 km
"Hyundai Tucson 1,6 T-GDI  Automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-t-gdi-hybrid-automatik-oglas-50837194,27.000 €,"Split, Sirobuja",2023,28.000 km
HYUNDAI TUCSON 1.6 CRDI☆4X4☆KUKA☆1.VL.☆HR.AUTO☆100 KW☆KRELL☆LED☆,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50894772,16.999 €,"Peščenica - Žitnjak, Peščenica",2019,126.000 km
Hyundai Tucson 1.7 CRDi,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-51058839,14.900 €,"Novi Zagreb - Istok, Zapruđe",2017,253.000 km
"Hyundai Tucson 1,6 CRDi automatik ***50000*** TKM 2021  XENON LED PANO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50997355,26.790 €,"Osijek, Gornji grad / Centar",2021,50.000 km
Hyundai Tucson 1.6 CRDi Style GO Navi,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-style-go-navi-oglas-49909317,15.900 €,"Rijeka, Škurinje",2018,147.629 km
"Hyundai Tucson 1,7 CRDi *XENON-TEMPOMAT-ALU- 3.GODINE JAMSTVO*",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-xenon-tempomat-alu-12-mj-jamstvo-oglas-50183311,14.990 €,"Đurđevac, Đurđevac",2015,110.000 km
"Hyundai Tucson 1,7 CRDi *TEMPOMAT - PDC - 12 MJ JAMSTVO*",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-tempomat-pdc-12-mj-jamstvo-oglas-51044240,14.450 €,"Đurđevac, Đurđevac",2015,121.000 km
**HYUNDAI TUCSON 2.0 CRDI-HR AUTO-V.SERVIS-REG GOD DANA**,https://www.njuskalo.hr/auti/hyundai-tucson-2.0-crdi-hr-auto-v-servis-reg-god-dana-oglas-50648979,4.999 €,"Sesvete, Brestje",2008,284.000 km
Hyundai Tucson 1.6 CRDI,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50744461,16.800 €,"Metković, Metković",2020,149.000 km
"Hyundai Tucson 1,6 CRDi 48V~Automatik~Kamera~Full Led~Servisna~Jamstvo",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50267173,20.700 €,"Kaštela, Kaštel Gomilica",2021,136.430 km
"Hyundai Tucson 1,6 CRDi,KLIMA,TEMPOMAT,P.KAMERA,ALU17,ODLIČAN,JAMSTVO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50524250,18.999 €,"Osijek, Industrijska zona (Čepinska)",2019,104.000 km
"Hyundai Tucson 1.7 CRDI,NAVIGACIJA,KAMERA,CLIMATRONIC,LED,TEMPOMAT",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-navigacija-kamera-climatronic-led-tempomat-oglas-49830595,16.999 €,"Osijek, Industrijska zona (Čepinska)",2018,140.000 km
"Hyundai Tucson 1,6 CRDi,CLIMATRONIC,LED,KAMERA,ALU,TEMPOMAT,JAMSTVO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-climatronic-led-kamera-alu-tempomat-jamstvo-oglas-50294844,18.999 €,"Osijek, Industrijska zona (Čepinska)",2018,97.200 km
"Hyundai Tucson 1,6 CRDi,CLIMATRONIC,LED,KAMERA,ALU,TEMPOMAT,JAMSTVO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-climatronic-led-kamera-alu-tempomat-jamstvo-oglas-49839801,17.999 €,"Osijek, Industrijska zona (Čepinska)",2018,122.000 km
"HYUNDAI Tucson 1.6 CRDi 136 Hybrid 48V DCT-7 Creative, U PDV u.",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-136-hybrid-48v-dct-7-creative-pdv-oglas-49839743,22.900 €,"Donja Dubrava, Retkovec",2021,133.450 km
"Hyundai Tucson 1,6 CRDi*SAMO 15.000km*ODLIČNO STANJE*",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-samo-15.000km-odlicno-stanje-oglas-49946944,23.999 €,"Podsused - Vrapče, Goljak",2022,14.890 km
