title,url,price,location,year,mileage
"Hyundai Tucson 1,6 CRDi, 48V Hybrid, automatik, LED, registriran",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-hybrid-automatik-led-registriran-oglas-50716418,19.999 €,"Zaprešić, Centar",2021,142.000 km
"Hyundai Tucson 1,6 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50525561,21.550 €,"Osijek - Okolica, Tenja",2023,143.000 km
"Hyundai Tucson 1,6T automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-automatik-oglas-50287320,24.300 €,"Gornja Dubrava, Dubec",2022,100.000 km
"Hyundai Tucson 1,6 T-GDI  Automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-t-gdi-hybrid-automatik-oglas-50837194,27.000 €,"Split, Sirobuja",2023,28.000 km
"Hyundai Tucson 1,6 CRDi automatik ***50000*** TKM 2021  XENON LED PANO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50997355,26.790 €,"Osijek, Gornji grad / Centar",2021,50.000 km
"Hyundai Tucson 1,6 CRDi 48V~Automatik~Kamera~Full Led~Servisna~Jamstvo",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50267173,20.700 €,"Kaštela, Kaštel Gomilica",2021,136.430 km
"HYUNDAI Tucson 1.6 CRDi 136 Hybrid 48V DCT-7 Creative, U PDV u.",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-136-hybrid-48v-dct-7-creative-pdv-oglas-49839743,22.900 €,"Donja Dubrava, Retkovec",2021,133.450 km
HYUNDAI TUCSON 1.6 CRDi 4WD AUTOMATIK LEVEL 3 PLUS - ***TOP STANJE***,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-4wd-automatik-level-3-plus-top-stanje-oglas-50607990,20.950 €,"Koprivnica, Podolice",2020,78.000 km
"Hyundai Tucson 1,6 CRDi Creative/Dct7/Led/Nav/Leasing/Jamstvo",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-creative-dct7-led-nav-leasing-jamstvo-oglas-50852266,21.800 €,"Vinkovci, Centar",2023,121.355 km
"Hyundai Tucson 1,6 CRDi 48V Premium Plus DCT",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-premium-plus-dct-oglas-50945951,27.900 €,"Čakovec, Globetka",2024,32.712 km
Hyundai Tucson 1.6 CRDI Automatik Hybrid 48V Business VIRTUAL COCKPIT,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-hybrid-48v-business-virtual-cockpit-oglas-49379993,22.990 €,"Stenjevec, Jankomir",2021,124.360 km
"Hyundai Tucson 1,6 CRDi 48V NAVI - VIRTUAL - LEASING RATA 332€",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-navi-virtual-leasing-rata-332-oglas-50575095,24.900 €,"Osijek, Industrijska zona (Čepinska)",2021,111.101 km
"Hyundai Tucson 1.6 CRDI , 136 KS , mhev , AUTOMATIK , 2020 !!! kao nov",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-136-ks-mhev-automatik-2020-kao-nov-oglas-50883444,15.950 €,"Kutina, Kutina",2020,177.800 km
"Hyundai Tucson1,6 CRDi AUTMATIK reg.2/2027 KAMERA KLIMA mob.098 212525",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-reg-2-2027-alu-navi-kamera-klima-pdc-kartice-oglas-49953785,18.999 €,"Sisak, Caprag/Željezara",2021,153.000 km
"Hyundai Tucson N Line 1,6D CRDi automatik FULL",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-51082490,26.500 €,"Peščenica - Žitnjak, Ferenščica",2022,105.796 km
"Hyundai Tucson 1,6T PHEV 4WD",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-phev-4wd-oglas-50577729,34.900 €,"Stenjevec, Špansko",2024,24.511 km
"Hyundai Tucson 1,6 CRDi Business | Automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-business-automatik-kamera-jamstvo-oglas-46005089,21.990 €,"Zadar, Crno",2021,124.000 km
"Hyundai Tucson 1,6T PHEV  N Line",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-oglas-50604428,29.500 €,"Podsused - Vrapče, Podsused",2022,90.000 km
Hyundai Tucson 1.6T | 230KS | N-Line | Hybrid |Jamstvo 12mj|,https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-8200-km-230ks-n-line-hybrid-jamstvo-12mj-oglas-50815032,32.000 €,"Donji Grad, Donji grad",2022,10.000 km
Hyundai Tucson 1.6T | 230KS | N-Line | Hybrid |Jamstvo 12mj|,https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-8200-km-230ks-n-line-hybrid-jamstvo-12mj-oglas-50815146,32.000 €,"Donji Grad, Donji grad",2022,10.000 km
"Hyundai Tucson 1,6 CRDi 48V MILD HYBRID, NAVIGACIJA, AUT., 4xGARANCIJE",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-mild-hybrid-navigacija-aut-4xgarancije-oglas-49977062,23.999 €,"Trnje, Martinovka",2022,95.292 km
"Hyundai Tucson 1,6 CRDi Automatic",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatic-oglas-48944825,21.484 €,"Trnje, Martinovka",2021,126.498 km
