title,url,price,location,year,mileage
"Volvo XC40 2.0 B4 mild hybrid,Plus Dark model,37.000 km,kao nov✅",https://www.njuskalo.hr/auti/volvo-xc40-2.0-b4-mild-hybrid-automatik-oglas-51079820,36.400 €,"Trnje, Trnje",2024,37.400 km
Volvo XC40 B3 AUTOMATIK °VIRTUAL°NAVI°LED°KAMERA°LEASING BEZ UČEŠĆA°,https://www.njuskalo.hr/auti/volvo-xc40-b3-automatik-virtual-navi-led-leasing-bez-ucesca-oglas-49787307,24.490 €,"Sesvete, Sesvete",2023,143.000 km
-AKCIJA- Volvo XC40 B3 Automatik-Geartronic Core VIRTUAL - Full LED -,https://www.njuskalo.hr/auti/volvo-xc40-b3-automatik-geartronic-core-virtual-cockpit-full-led-oglas-50124564,33.990 €,"Stenjevec, Jankomir",2025,24.530 km
"Volvo XC40 B3 automatik, prva vlasnica",https://www.njuskalo.hr/auti/volvo-xc40-automatik-oglas-51079800,26.000 €,"Trešnjevka - Sjever, Trešnjevka",2022,47.400 km
"Volvo XC40 B3 2,0i NOVC-HEV  22000 km  PDV",https://www.njuskalo.hr/auti/volvo-xc40-b3-2.0i-novc-hev-22000-km-oglas-51015214,32.900 €,"Peščenica - Žitnjak, Žitnjak",2025,22.700 km
Volvo XC40 T4 PLUG-IN HYBRID,https://www.njuskalo.hr/auti/volvo-xc40-t4-plug-in-hybrid-oglas-47917662,26.999 €,"Trnje, Martinovka",2021,60.588 km
VOLVO XC40 T3 MOMENTUM PRO AUTOMATIK,https://www.njuskalo.hr/auti/volvo-xc40-t3-momentum-pro-aut-oglas-50821261,25.000 €,"Trnje, Martinovka",2021,95.810 km
"Volvo XC40 XC40 GEATRONIC,HYBRID PLUG - IN 211KS,LED,ALU....",https://www.njuskalo.hr/auti/volvo-xc40-xc40-geatronic-hybrid-211ka-led-alu-oglas-49825091,28.900 €,"Sesvete, Kobiljak",2022,71.000 km
"Volvo XC40 D3 automatik,INSCRIPTION,19""FELGE,VELIKI SER,REGAN,GARANC",https://www.njuskalo.hr/auti/volvo-xc40-d3-automatik-inscription-19-felge-veliki-ser-regan-garanc-oglas-48960392,25.990 €,"Sesvete, Sesvete",2020,156.063 km
Volvo XC40 T2 12 MJESECI JAMSTVA BEZ TROŠKA PRIJENOSA,https://www.njuskalo.hr/auti/volvo-xc40-t2-dolasku-oglas-49409433,21.990 €,"Oroslavje, Mokrice",2020,140.748 km
Volvo XC40 T5 RECHARGE MOMENTUM AUT. PANORAMA,https://www.njuskalo.hr/auti/volvo-xc40-t5-recharge-momentum-aut-panorama-oglas-50352093,24.900 €,"Novi Zagreb - Istok, Dugave",2021,130.017 km
"Volvo XC40 2,0 B4 200ks Pro AWD AT / JAMSTVO + REGISTRACIJA / PDV",https://www.njuskalo.hr/auti/volvo-xc40-2.0-b4p-awd-jamstvo-registracija-oglas-46579811,23.500 €,"Rijeka, Škurinje",2021,125.673 km
"Volvo XC40 D3,AUTOMATIK,VIRTUAL,LED,KLIMA,KOŽA,GRIJANJE SJEDALA...",https://www.njuskalo.hr/auti/volvo-xc40-d3-automatik-virtual-led-klima-koza-grijanje-sjedala-oglas-49171495,31.300 €,"Sesvete, Kraljevečki Novaki",2020,94.000 km
"Volvo XC40 T3 AUTOMATIK R-Design *HARMAN/KARDON, NAVIGACIJA, KAMERA, L",https://www.njuskalo.hr/auti/volvo-xc40-t3-automatik-r-design-harman-kardon-navigacija-kamera-l-oglas-50907135,24.900 €,,2021,104.024 km
"Volvo XC40 T2 AUTOMATIK,MODEL 2023,AMBIENT,KEYLESS,RADAR,PAS,U PDV-U",https://www.njuskalo.hr/auti/volvo-xc40-t2-automatik-2023-model-ambient-keyless-radar-pas-pdv-oglas-50102790,23.990 €,"Podsljeme, Štefanovec",2022,108.000 km
Volvo XC40 B3 Core ☆ GARANCIJA ☆ RATA OD 299€,https://www.njuskalo.hr/auti/volvo-xc40-b3-core-garancija-rata-681-oglas-50642010,35.400 €,"Dugo Selo - Okolica, Puhovo",2024,23.400 km
Volvo XC40 D3 automatik,https://www.njuskalo.hr/auti/volvo-xc40-d3-automatik-oglas-50888925,19.900 €,"Ivanec, Cerje Tužno",2020,200.000 km
Plug-in Hybrid Volvo XC40 recharge Rdesigne automatik,https://www.njuskalo.hr/auti/volvo-xc40-xc40-recharge-rdesigne-automatik-oglas-38593183,29.000 €,"Donji Grad, Donji grad",2021,94.000 km
Volvo XC40 B3-A CORE,https://www.njuskalo.hr/auti/volvo-xc40-b3-a-core-oglas-50658103,35.985 €,"Split, Sirobuja",2026,5.656 km
Volvo XC40 B3-A CORE,https://www.njuskalo.hr/auti/volvo-xc40-b3-a-core-oglas-50524285,35.985 €,"Split, Sirobuja",2026,7.162 km
Volvo XC40 T5 RECHARGE / R DESIGN / PANORAMSKI KROVNI OTVOR,https://www.njuskalo.hr/auti/volvo-xc40-t5-recharge-oglas-50933134,25.900 €,"Velika Gorica - Okolica, Staro Čiće",2020,125.475 km
VOLVO XC40 1.5 T3-A MOMENTUM,https://www.njuskalo.hr/auti/volvo-xc40-1.5-t3-a-momentum-oglas-50906673,19.900 €,,2022,194.110 km
Volvo XC40 1.5 T3 MOMENTUM PRO,https://www.njuskalo.hr/auti/volvo-xc40-1.5-t3-momentum-pro-oglas-50828107,23.900 €,"Sesvete, Novi Jelkovec",2021,152.505 km
Volvo XC40 B3-A CORE,https://www.njuskalo.hr/auti/volvo-xc40-b3-a-core-oglas-50962648,35.985 €,"Novi Zagreb - Zapad, Otok",2026,3.900 km
